      Time          Predicted AL
2018/244-00:09:23      -28.8
2018/244-00:19:23      -28.1
2018/244-00:29:23      -28.1
2018/244-00:39:23      -27.7
2018/244-00:49:23      -26.4
2018/244-00:59:23      -25.0
2018/244-01:09:23      -23.7
2018/244-01:19:23      -22.3
2018/244-01:29:23      -21.1
2018/244-01:39:23      -19.6
2018/244-01:49:23      -17.2
2018/244-01:59:23      -16.0
2018/244-02:09:23      -17.9
2018/244-02:19:23      -18.4
2018/244-02:29:23      -16.7
2018/244-02:39:23      -13.3
2018/244-02:49:23      -11.6
2018/244-02:59:23      -11.2
2018/244-03:09:23      -12.1
2018/244-03:19:23      -11.3
2018/244-03:29:23      -10.0
2018/244-03:39:23      -10.6
2018/244-03:49:23      -12.8
2018/244-03:59:23      -13.3
2018/244-04:09:23      -13.1
2018/244-04:19:23      -12.4
2018/244-04:29:23      -11.6
2018/244-04:39:23      -11.3
2018/244-04:49:23      -12.1
2018/244-04:59:23      -12.8
2018/244-05:09:23      -12.8
2018/244-05:19:23      -12.1
2018/244-05:29:23      -11.2
2018/244-05:39:23      -10.6
2018/244-05:49:23      -10.5
2018/244-05:59:23      -10.4
2018/244-06:09:23       -9.9
2018/244-06:19:23       -9.5
2018/244-06:29:23       -9.5
2018/244-06:39:23      -10.0
2018/244-06:49:23      -10.4
2018/244-06:59:23      -10.7
2018/244-07:09:23      -10.6
2018/244-07:19:23      -10.8
2018/244-07:29:23      -11.1
2018/244-07:39:23      -11.5
2018/244-07:49:23      -11.8
2018/244-07:59:23      -12.2
2018/244-08:09:23      -12.3
2018/244-08:19:23      -12.3
2018/244-08:29:23      -12.1
2018/244-08:39:23      -11.8
2018/244-08:49:23      -11.7
2018/244-08:59:23      -12.0
2018/244-09:09:23      -12.6
2018/244-09:19:23      -13.0
2018/244-09:29:23      -13.4
2018/244-09:39:23      -13.7
2018/244-09:49:23      -13.8
2018/244-09:59:23      -13.9
2018/244-10:09:23      -14.1
2018/244-10:19:23      -14.2
2018/244-10:29:23      -14.0
2018/244-10:39:23      -13.8
2018/244-10:49:23      -13.8
2018/244-10:59:23      -13.4
2018/244-11:09:23      -12.5
2018/244-11:19:23      -11.1
2018/244-11:29:23      -11.2
2018/244-11:39:23      -11.4
2018/244-11:49:23      -11.5
2018/244-11:59:23      -11.6
2018/244-12:09:23      -11.8
2018/244-12:19:23      -14.8
2018/244-12:29:23      -16.2
2018/244-12:39:23      -16.7
2018/244-12:49:23      -17.7
2018/244-12:59:23      -18.6
2018/244-13:09:23      -19.0
2018/244-13:19:23      -19.5
2018/244-13:29:23      -19.3
2018/244-13:39:23      -19.2
2018/244-13:49:23      -19.0
2018/244-13:59:23      -18.9
2018/244-14:09:23      -33.1
2018/244-14:19:23      -45.9
2018/244-14:29:23      -54.5
2018/244-14:39:23      -68.6
2018/244-14:49:23      -74.8
2018/244-14:59:23      -74.4
2018/244-15:09:23      -74.3
2018/244-15:19:23      -80.6
2018/244-15:29:23      -89.8
2018/244-15:39:23      -97.6
2018/244-15:49:23     -103.0
2018/244-15:59:23     -113.6
2018/244-16:09:23     -127.3
2018/244-16:19:23     -142.9
2018/244-16:29:23     -159.4
2018/244-16:39:23     -173.4
2018/244-16:49:23     -184.0
2018/244-16:59:23     -192.5
2018/244-17:09:23     -198.7
2018/244-17:19:23     -203.0
2018/244-17:29:23     -205.3
2018/244-17:39:23     -205.7
2018/244-17:49:23     -204.8
2018/244-17:59:23     -203.0
2018/244-18:09:23     -201.4
2018/244-18:19:23     -201.5
2018/244-18:29:23     -202.8
