      Time          Predicted AL
2018/244-18:39:23     -202.9
2018/244-18:49:23     -202.0
2018/244-18:59:23     -203.1
2018/244-19:09:23     -205.5
2018/244-19:19:23     -205.9
2018/244-19:29:23     -202.8
2018/244-19:39:23     -199.5
2018/244-19:49:23     -198.0
2018/244-19:59:23     -194.8
2018/244-20:09:23     -187.8
2018/244-20:19:23     -177.5
2018/244-20:29:23     -163.3
2018/244-20:39:23     -146.1
2018/244-20:49:23     -129.7
2018/244-20:59:23     -116.8
2018/244-21:09:23     -108.9
2018/244-21:19:23     -104.5
2018/244-21:29:23      -99.7
2018/244-21:39:23      -93.8
2018/244-21:49:23      -91.8
2018/244-21:59:23      -87.8
2018/244-22:09:23      -86.9
2018/244-22:19:23      -91.5
2018/244-22:29:23      -97.8
2018/244-22:39:23     -101.5
2018/244-22:49:23      -99.0
2018/244-22:59:23      -91.0
2018/244-23:09:23      -84.7
2018/244-23:19:23      -78.6
2018/244-23:29:23      -72.9
2018/244-23:39:23      -67.4
2018/244-23:49:23      -61.9
2018/244-23:59:23      -59.0
2018/245-00:09:23      -59.0
2018/245-00:19:23      -62.3
2018/245-00:29:23      -69.1
2018/245-00:39:23      -76.9
2018/245-00:49:23      -83.0
2018/245-00:59:23      -81.7
2018/245-01:09:23      -79.2
2018/245-01:19:23      -80.5
2018/245-01:29:23      -80.0
2018/245-01:39:23      -76.1
2018/245-01:49:23      -72.3
2018/245-01:59:23      -71.0
2018/245-02:09:23      -70.9
2018/245-02:19:23      -71.0
2018/245-02:29:23      -71.4
2018/245-02:39:23      -70.4
2018/245-02:49:23      -68.6
2018/245-02:59:23      -65.7
2018/245-03:09:23      -62.6
2018/245-03:19:23      -59.6
2018/245-03:29:23      -57.8
2018/245-03:39:23      -56.4
2018/245-03:49:23      -54.9
2018/245-03:59:23      -53.8
2018/245-04:09:23      -54.1
2018/245-04:19:23      -55.8
2018/245-04:29:23      -57.4
2018/245-04:39:23      -58.9
2018/245-04:49:23      -60.7
2018/245-04:59:23      -62.4
2018/245-05:09:23      -63.2
2018/245-05:19:23      -63.3
2018/245-05:29:23      -64.4
2018/245-05:39:23      -66.8
2018/245-05:49:23      -69.1
2018/245-05:59:23      -70.6
2018/245-06:09:23      -72.8
2018/245-06:19:23      -75.1
2018/245-06:29:23      -75.8
2018/245-06:39:23      -74.2
2018/245-06:49:23      -70.3
2018/245-06:59:23      -66.3
2018/245-07:09:23      -63.3
2018/245-07:19:23      -60.3
2018/245-07:29:23      -56.5
2018/245-07:39:23      -52.7
2018/245-07:49:23      -49.2
2018/245-07:59:23      -45.5
2018/245-08:09:23      -41.1
2018/245-08:19:23      -37.2
2018/245-08:29:23      -34.0
2018/245-08:39:23      -31.0
2018/245-08:49:23      -28.3
2018/245-08:59:23      -25.9
2018/245-09:09:23      -23.9
2018/245-09:19:23      -22.3
2018/245-09:29:23      -20.9
2018/245-09:39:23      -19.7
2018/245-09:49:23      -18.7
2018/245-09:59:23      -17.9
2018/245-10:09:23      -17.2
2018/245-10:19:23      -16.6
2018/245-10:29:23      -16.2
2018/245-10:39:23      -15.7
2018/245-10:49:23      -15.3
2018/245-10:59:23      -15.0
2018/245-11:09:23      -14.8
2018/245-11:19:23      -14.9
2018/245-11:29:23      -16.8
2018/245-11:39:23      -18.7
2018/245-11:49:23      -18.3
2018/245-11:59:23      -18.1
2018/245-12:09:23      -18.4
2018/245-12:19:23      -18.8
2018/245-12:29:23      -18.6
2018/245-12:39:23      -18.3
2018/245-12:49:23      -18.0
2018/245-12:59:23      -17.8
2018/245-13:09:23      -17.8
2018/245-13:19:23      -19.7
2018/245-13:29:23      -23.6
2018/245-13:39:23      -24.6
2018/245-13:49:23      -25.5
2018/245-13:59:23      -27.0
2018/245-14:09:23      -28.7
2018/245-14:19:23      -28.6
2018/245-14:29:23      -28.3
2018/245-14:39:23      -28.0
2018/245-14:49:23      -28.2
2018/245-14:59:23      -29.9
2018/245-15:09:23      -32.2
2018/245-15:19:23      -40.0
2018/245-15:29:23      -51.5
2018/245-15:39:23      -60.7
2018/245-15:49:23      -73.5
2018/245-15:59:23      -97.5
2018/245-16:09:23     -121.8
2018/245-16:19:23     -143.7
2018/245-16:29:23     -159.1
2018/245-16:39:23     -163.6
2018/245-16:49:23     -159.2
2018/245-16:59:23     -156.3
2018/245-17:09:23     -168.2
2018/245-17:19:23     -180.7
2018/245-17:29:23     -190.3
2018/245-17:39:23     -201.8
2018/245-17:49:23     -199.7
2018/245-17:59:23     -182.4
2018/245-18:09:23     -164.1
2018/245-18:19:23     -148.7
2018/245-18:29:23     -132.0
2018/245-18:39:23     -113.9
2018/245-18:49:23      -97.6
2018/245-18:59:23      -86.6
2018/245-19:09:23      -92.9
2018/245-19:19:23     -106.5
2018/245-19:29:23     -115.5
2018/245-19:39:23     -128.0
2018/245-19:49:23     -133.5
2018/245-19:59:23     -139.2
2018/245-20:09:23     -143.8
2018/245-20:19:23     -141.3
2018/245-20:29:23     -134.6
2018/245-20:39:23     -126.0
2018/245-20:49:23     -115.3
2018/245-20:59:23     -104.8
2018/245-21:09:23      -97.1
2018/245-21:19:23      -97.0
2018/245-21:29:23      -97.5
2018/245-21:39:23      -97.9
2018/245-21:49:23     -101.3
2018/245-21:59:23     -108.0
2018/245-22:09:23     -113.5
2018/245-22:19:23     -115.6
2018/245-22:29:23     -112.8
2018/245-22:39:23     -104.4
2018/245-22:49:23      -94.0
2018/245-22:59:23      -84.3
2018/245-23:09:23      -75.4
2018/245-23:19:23      -66.4
2018/245-23:29:23      -57.4
2018/245-23:39:23      -49.7
2018/245-23:49:23      -42.9
2018/245-23:59:23      -37.1
2018/246-00:09:23      -32.3
2018/246-00:19:23      -29.9
2018/246-00:29:23      -27.2
2018/246-00:39:23      -24.4
2018/246-00:49:23      -22.4
2018/246-00:59:23      -21.1
2018/246-01:09:23      -20.4
2018/246-01:19:23      -20.8
2018/246-01:29:23      -22.5
2018/246-01:39:23      -22.2
2018/246-01:49:23      -21.0
2018/246-01:59:23      -19.9
2018/246-02:09:23      -19.3
2018/246-02:19:23      -18.3
2018/246-02:29:23      -17.2
2018/246-02:39:23      -16.8
2018/246-02:49:23      -16.1
2018/246-02:59:23      -14.9
2018/246-03:09:23      -15.0
2018/246-03:19:23      -15.0
2018/246-03:29:23      -14.8
2018/246-03:39:23      -16.9
2018/246-03:49:23      -24.0
2018/246-03:59:23      -34.8
2018/246-04:09:23      -44.1
2018/246-04:19:23      -47.2
2018/246-04:29:23      -47.1
2018/246-04:39:23      -46.8
2018/246-04:49:23      -45.6
2018/246-04:59:23      -43.2
2018/246-05:09:23      -40.0
2018/246-05:19:23      -36.3
2018/246-05:29:23      -32.3
2018/246-05:39:23      -28.5
2018/246-05:49:23      -25.2
2018/246-05:59:23      -22.4
2018/246-06:09:23      -20.1
2018/246-06:19:23      -18.4
2018/246-06:29:23      -17.0
2018/246-06:39:23      -15.9
2018/246-06:49:23      -15.2
2018/246-06:59:23      -20.5
2018/246-07:09:23      -29.9
2018/246-07:19:23      -42.5
2018/246-07:29:23      -55.2
2018/246-07:39:23      -68.1
2018/246-07:49:23      -82.7
2018/246-07:59:23      -93.9
2018/246-08:09:23      -98.1
2018/246-08:19:23     -103.6
2018/246-08:29:23     -108.6
2018/246-08:39:23     -108.3
2018/246-08:49:23     -102.2
2018/246-08:59:23      -92.5
2018/246-09:09:23      -83.3
2018/246-09:19:23      -74.5
2018/246-09:29:23      -66.0
2018/246-09:39:23      -57.7
2018/246-09:49:23      -50.6
2018/246-09:59:23      -44.4
2018/246-10:09:23      -39.2
2018/246-10:19:23      -34.8
2018/246-10:29:23      -31.2
2018/246-10:39:23      -28.3
2018/246-10:49:23      -26.0
2018/246-10:59:23      -24.2
2018/246-11:09:23      -22.7
2018/246-11:19:23      -21.5
2018/246-11:29:23      -20.5
2018/246-11:39:23      -19.6
2018/246-11:49:23      -18.9
2018/246-11:59:23      -18.3
2018/246-12:09:23      -17.7
2018/246-12:19:23      -17.3
2018/246-12:29:23      -16.9
2018/246-12:39:23      -16.7
2018/246-12:49:23      -16.7
2018/246-12:59:23      -18.0
2018/246-13:09:23      -20.9
2018/246-13:19:23      -24.4
2018/246-13:29:23      -27.8
2018/246-13:39:23      -32.4
2018/246-13:49:23      -36.9
2018/246-13:59:23      -42.3
2018/246-14:09:23      -57.9
2018/246-14:19:23      -78.4
2018/246-14:29:23      -96.6
2018/246-14:39:23     -111.0
2018/246-14:49:23     -125.2
2018/246-14:59:23     -140.2
2018/246-15:09:23     -155.1
2018/246-15:19:23     -165.9
2018/246-15:29:23     -171.7
2018/246-15:39:23     -175.8
2018/246-15:49:23     -180.2
2018/246-15:59:23     -184.5
2018/246-16:09:23     -185.0
2018/246-16:19:23     -181.1
2018/246-16:29:23     -171.1
2018/246-16:39:23     -157.6
2018/246-16:49:23     -145.5
2018/246-16:59:23     -143.8
2018/246-17:09:23     -145.9
2018/246-17:19:23     -138.2
2018/246-17:29:23     -133.6
2018/246-17:39:23     -125.2
2018/246-17:49:23     -120.1
2018/246-17:59:23     -112.8
2018/246-18:09:23     -106.8
2018/246-18:19:23     -102.4
2018/246-18:29:23      -95.5
2018/246-18:39:23      -85.3
2018/246-18:49:23      -76.8
2018/246-18:59:23      -68.9
2018/246-19:09:23      -62.7
2018/246-19:19:23      -56.1
2018/246-19:29:23      -53.1
2018/246-19:39:23      -57.7
2018/246-19:49:23      -61.6
2018/246-19:59:23      -66.9
2018/246-20:09:23      -77.8
2018/246-20:19:23      -94.2
2018/246-20:29:23     -109.1
2018/246-20:39:23     -118.1
2018/246-20:49:23     -122.2
2018/246-20:59:23     -121.7
2018/246-21:09:23     -117.7
2018/246-21:19:23     -109.4
2018/246-21:29:23      -98.7
2018/246-21:39:23      -87.8
2018/246-21:49:23      -77.2
2018/246-21:59:23      -67.1
2018/246-22:09:23      -57.8
2018/246-22:19:23      -49.7
2018/246-22:29:23      -42.9
2018/246-22:39:23      -37.2
2018/246-22:49:23      -33.9
2018/246-22:59:23      -31.6
2018/246-23:09:23      -28.2
2018/246-23:19:23      -25.4
2018/246-23:29:23      -23.9
2018/246-23:39:23      -25.2
2018/246-23:49:23      -25.1
2018/246-23:59:23      -23.0
2018/247-00:09:23      -21.4
2018/247-00:19:23      -20.4
2018/247-00:29:23      -19.6
2018/247-00:39:23      -20.2
2018/247-00:49:23      -18.9
2018/247-00:59:23      -17.4
2018/247-01:09:23      -16.1
2018/247-01:19:23      -15.4
2018/247-01:29:23      -14.4
2018/247-01:39:23      -13.4
2018/247-01:49:23      -12.5
2018/247-01:59:23      -11.9
2018/247-02:09:23      -17.6
2018/247-02:19:23      -41.9
2018/247-02:29:23      -79.3
2018/247-02:39:23     -107.5
2018/247-02:49:23      -95.7
2018/247-02:59:23      -94.1
2018/247-03:09:23     -108.9
2018/247-03:19:23     -123.7
2018/247-03:29:23     -134.4
2018/247-03:39:23     -143.0
2018/247-03:49:23     -137.7
2018/247-03:59:23     -123.5
2018/247-04:09:23     -112.2
2018/247-04:19:23     -101.4
2018/247-04:29:23      -89.0
2018/247-04:39:23      -76.5
2018/247-04:49:23      -74.6
2018/247-04:59:23      -92.0
2018/247-05:09:23     -127.9
2018/247-05:19:23     -169.0
2018/247-05:29:23     -208.6
2018/247-05:39:23     -247.8
2018/247-05:49:23     -283.4
2018/247-05:59:23     -307.9
2018/247-06:09:23     -317.5
2018/247-06:19:23     -314.9
2018/247-06:29:23     -305.9
2018/247-06:39:23     -290.6
2018/247-06:49:23     -261.6
2018/247-06:59:23     -226.5
2018/247-07:09:23     -192.6
2018/247-07:19:23     -169.0
2018/247-07:29:23     -159.1
2018/247-07:39:23     -148.4
2018/247-07:49:23     -143.5
2018/247-07:59:23     -128.2
2018/247-08:09:23     -108.6
2018/247-08:19:23      -94.8
2018/247-08:29:23      -86.2
2018/247-08:39:23      -80.3
2018/247-08:49:23      -76.9
2018/247-08:59:23      -74.0
2018/247-09:09:23      -71.1
2018/247-09:19:23      -71.9
2018/247-09:29:23      -76.5
2018/247-09:39:23      -78.8
2018/247-09:49:23      -79.6
2018/247-09:59:23      -82.9
2018/247-10:09:23      -87.5
2018/247-10:19:23      -91.6
2018/247-10:29:23      -96.0
2018/247-10:39:23     -101.4
2018/247-10:49:23     -105.6
2018/247-10:59:23     -107.1
2018/247-11:09:23     -104.3
2018/247-11:19:23     -100.8
2018/247-11:29:23      -99.2
2018/247-11:39:23      -98.1
2018/247-11:49:23      -90.2
2018/247-11:59:23      -80.2
2018/247-12:09:23      -71.8
2018/247-12:19:23      -65.1
2018/247-12:29:23      -59.2
2018/247-12:39:23      -55.0
2018/247-12:49:23      -50.7
2018/247-12:59:23      -46.6
2018/247-13:09:23      -43.0
2018/247-13:19:23      -39.3
2018/247-13:29:23      -36.0
2018/247-13:39:23      -33.8
2018/247-13:49:23      -44.1
2018/247-13:59:23      -60.3
2018/247-14:09:23      -83.7
2018/247-14:19:23     -111.3
2018/247-14:29:23     -134.8
2018/247-14:39:23     -134.8
2018/247-14:49:23     -127.2
2018/247-14:59:23     -122.2
2018/247-15:09:23     -117.3
2018/247-15:19:23     -115.2
2018/247-15:29:23     -113.1
2018/247-15:39:23     -106.3
2018/247-15:49:23     -101.6
2018/247-15:59:23     -101.2
2018/247-16:09:23      -99.1
2018/247-16:19:23      -94.0
2018/247-16:29:23      -90.9
2018/247-16:39:23      -89.9
2018/247-16:49:23      -86.1
2018/247-16:59:23      -99.8
2018/247-17:09:23     -158.1
2018/247-17:19:23     -177.4
2018/247-17:29:23     -182.5
2018/247-17:39:23     -194.3
2018/247-17:49:23     -197.9
2018/247-17:59:23     -186.7
2018/247-18:09:23     -174.8
2018/247-18:19:23     -164.1
2018/247-18:29:23     -148.4
2018/247-18:39:23     -131.7
2018/247-18:49:23     -119.5
2018/247-18:59:23     -112.4
2018/247-19:09:23     -108.8
2018/247-19:19:23     -121.0
2018/247-19:29:23     -182.4
2018/247-19:39:23     -240.6
2018/247-19:49:23     -284.4
2018/247-19:59:23     -314.1
2018/247-20:09:23     -327.0
2018/247-20:19:23     -323.8
2018/247-20:29:23     -307.6
2018/247-20:39:23     -277.9
2018/247-20:49:23     -242.2
2018/247-20:59:23     -206.6
2018/247-21:09:23     -173.9
2018/247-21:19:23     -147.8
2018/247-21:29:23     -123.8
2018/247-21:39:23     -104.9
2018/247-21:49:23      -91.8
2018/247-21:59:23      -82.9
2018/247-22:09:23      -74.4
2018/247-22:19:23      -67.5
2018/247-22:29:23      -79.8
2018/247-22:39:23     -124.2
2018/247-22:49:23     -169.7
2018/247-22:59:23     -202.0
2018/247-23:09:23     -233.4
2018/247-23:19:23     -265.1
2018/247-23:29:23     -289.4
2018/247-23:39:23     -311.5
2018/247-23:49:23     -329.4
2018/247-23:59:23     -337.7
2018/248-00:09:23     -339.1
2018/248-00:19:23     -334.9
2018/248-00:29:23     -330.3
2018/248-00:39:23     -325.6
2018/248-00:49:23     -320.5
2018/248-00:59:23     -319.0
2018/248-01:09:23     -319.6
2018/248-01:19:23     -325.2
2018/248-01:29:23     -347.4
2018/248-01:39:23     -369.2
2018/248-01:49:23     -388.9
2018/248-01:59:23     -403.5
2018/248-02:09:23     -432.3
2018/248-02:19:23     -421.3
2018/248-02:29:23     -406.6
2018/248-02:39:23     -387.9
2018/248-02:49:23     -365.5
2018/248-02:59:23     -319.8
2018/248-03:09:23     -270.7
2018/248-03:19:23     -230.7
2018/248-03:29:23     -211.2
2018/248-03:39:23     -189.0
2018/248-03:49:23     -156.6
2018/248-03:59:23     -126.2
2018/248-04:09:23     -107.2
2018/248-04:19:23     -101.0
2018/248-04:29:23     -140.3
2018/248-04:39:23     -152.3
2018/248-04:49:23     -125.3
2018/248-04:59:23     -108.1
2018/248-05:09:23     -112.5
2018/248-05:19:23     -108.3
2018/248-05:29:23      -95.0
2018/248-05:39:23      -85.0
2018/248-05:49:23      -74.6
2018/248-05:59:23      -65.9
2018/248-06:09:23      -57.9
2018/248-06:19:23      -51.5
2018/248-06:29:23      -45.6
2018/248-06:39:23      -41.0
2018/248-06:49:23      -37.4
2018/248-06:59:23      -34.5
2018/248-07:09:23      -32.2
2018/248-07:19:23      -31.5
2018/248-07:29:23      -30.1
2018/248-07:39:23      -29.3
2018/248-07:49:23      -28.2
2018/248-07:59:23      -27.6
2018/248-08:09:23      -27.2
2018/248-08:19:23      -27.1
2018/248-08:29:23      -27.1
2018/248-08:39:23      -27.2
2018/248-08:49:23      -27.4
2018/248-08:59:23      -29.9
2018/248-09:09:23      -37.9
2018/248-09:19:23      -69.6
2018/248-09:29:23     -103.8
2018/248-09:39:23     -129.3
2018/248-09:49:23     -176.7
2018/248-09:59:23     -218.6
2018/248-10:09:23     -265.2
2018/248-10:19:23     -308.2
2018/248-10:29:23     -319.8
2018/248-10:39:23     -287.2
2018/248-10:49:23     -262.7
2018/248-10:59:23     -242.7
2018/248-11:09:23     -217.4
2018/248-11:19:23     -206.6
2018/248-11:29:23     -203.1
2018/248-11:39:23     -175.7
2018/248-11:49:23     -148.2
2018/248-11:59:23     -129.0
2018/248-12:09:23     -115.6
2018/248-12:19:23     -100.2
2018/248-12:29:23      -87.3
2018/248-12:39:23      -76.9
2018/248-12:49:23      -68.5
2018/248-12:59:23      -61.5
2018/248-13:09:23      -56.5
2018/248-13:19:23      -52.7
2018/248-13:29:23      -48.7
2018/248-13:39:23      -49.8
2018/248-13:49:23     -121.6
2018/248-13:59:23     -203.8
2018/248-14:09:23     -296.7
2018/248-14:19:23     -370.3
2018/248-14:29:23     -427.9
2018/248-14:39:23     -488.0
2018/248-14:49:23     -538.9
2018/248-14:59:23     -561.1
2018/248-15:09:23     -580.8
2018/248-15:19:23     -536.9
2018/248-15:29:23     -502.2
2018/248-15:39:23     -496.9
2018/248-15:49:23     -485.3
2018/248-15:59:23     -462.0
2018/248-16:09:23     -453.6
2018/248-16:19:23     -438.1
2018/248-16:29:23     -386.5
2018/248-16:39:23     -344.0
2018/248-16:49:23     -314.8
2018/248-16:59:23     -279.1
2018/248-17:09:23     -239.7
2018/248-17:19:23     -215.5
2018/248-17:29:23     -224.6
2018/248-17:39:23     -234.6
2018/248-17:49:23     -225.4
2018/248-17:59:23     -214.2
2018/248-18:09:23     -225.0
2018/248-18:19:23     -217.5
2018/248-18:29:23     -185.4
2018/248-18:39:23     -169.0
2018/248-18:49:23     -159.5
2018/248-18:59:23     -168.5
2018/248-19:09:23     -171.9
2018/248-19:19:23     -160.6
2018/248-19:29:23     -147.5
2018/248-19:39:23     -136.4
2018/248-19:49:23     -121.7
2018/248-19:59:23     -107.9
2018/248-20:09:23     -101.8
2018/248-20:19:23      -95.7
2018/248-20:29:23      -86.9
2018/248-20:39:23      -78.2
2018/248-20:49:23      -68.9
2018/248-20:59:23      -61.4
2018/248-21:09:23      -55.0
2018/248-21:19:23      -50.7
2018/248-21:29:23      -51.3
2018/248-21:39:23      -52.8
2018/248-21:49:23      -55.3
2018/248-21:59:23      -58.4
2018/248-22:09:23      -62.9
2018/248-22:19:23      -72.8
2018/248-22:29:23      -80.9
2018/248-22:39:23      -95.9
2018/248-22:49:23     -110.8
2018/248-22:59:23     -115.3
2018/248-23:09:23     -109.3
2018/248-23:19:23     -103.4
2018/248-23:29:23      -97.5
2018/248-23:39:23      -89.6
2018/248-23:49:23      -80.6
2018/248-23:59:23      -72.5
2018/249-00:09:23      -85.7
2018/249-00:19:23     -107.2
2018/249-00:29:23     -125.3
2018/249-00:39:23     -141.0
2018/249-00:49:23     -160.8
2018/249-00:59:23     -185.1
2018/249-01:09:23     -203.2
2018/249-01:19:23     -212.7
2018/249-01:29:23     -215.0
2018/249-01:39:23     -215.0
2018/249-01:49:23     -218.0
2018/249-01:59:23     -228.8
2018/249-02:09:23     -238.5
2018/249-02:19:23     -239.1
2018/249-02:29:23     -227.3
2018/249-02:39:23     -214.7
2018/249-02:49:23     -204.0
2018/249-02:59:23     -193.0
2018/249-03:09:23     -181.9
2018/249-03:19:23     -172.4
2018/249-03:29:23     -162.0
2018/249-03:39:23     -150.6
2018/249-03:49:23     -140.8
2018/249-03:59:23     -137.9
2018/249-04:09:23     -149.2
2018/249-04:19:23     -166.0
2018/249-04:29:23     -180.0
2018/249-04:39:23     -183.6
2018/249-04:49:23     -182.1
2018/249-04:59:23     -187.8
2018/249-05:09:23     -199.4
2018/249-05:19:23     -206.5
2018/249-05:29:23     -205.2
2018/249-05:39:23     -198.2
2018/249-05:49:23     -190.6
2018/249-05:59:23     -180.8
2018/249-06:09:23     -163.8
2018/249-06:19:23     -153.4
2018/249-06:29:23     -155.3
2018/249-06:39:23     -156.9
2018/249-06:49:23     -153.1
2018/249-06:59:23     -149.1
2018/249-07:09:23     -146.9
2018/249-07:19:23     -148.9
2018/249-07:29:23     -147.1
2018/249-07:39:23     -130.5
2018/249-07:49:23     -118.9
2018/249-07:59:23     -119.8
2018/249-08:09:23     -121.6
2018/249-08:19:23     -120.0
2018/249-08:29:23     -117.9
2018/249-08:39:23     -118.5
2018/249-08:49:23     -120.3
2018/249-08:59:23     -117.2
2018/249-09:09:23     -109.5
2018/249-09:19:23     -101.5
2018/249-09:29:23      -95.6
2018/249-09:39:23      -89.3
2018/249-09:49:23      -85.7
2018/249-09:59:23      -83.3
2018/249-10:09:23      -77.9
2018/249-10:19:23      -71.0
2018/249-10:29:23      -67.3
2018/249-10:39:23      -66.6
2018/249-10:49:23      -63.2
2018/249-10:59:23      -60.9
2018/249-11:09:23      -61.7
2018/249-11:19:23      -67.0
2018/249-11:29:23      -75.7
2018/249-11:39:23      -86.7
2018/249-11:49:23      -98.4
2018/249-11:59:23     -107.3
2018/249-12:09:23     -106.3
2018/249-12:19:23     -101.5
2018/249-12:29:23     -102.4
2018/249-12:39:23     -113.3
2018/249-12:49:23     -128.4
2018/249-12:59:23     -127.6
2018/249-13:09:23     -126.0
2018/249-13:19:23     -134.8
2018/249-13:29:23     -147.9
2018/249-13:39:23     -150.1
2018/249-13:49:23     -144.2
2018/249-13:59:23     -136.4
2018/249-14:09:23     -127.7
2018/249-14:19:23     -118.8
2018/249-14:29:23     -113.5
2018/249-14:39:23     -105.9
2018/249-14:49:23     -103.4
2018/249-14:59:23     -111.8
2018/249-15:09:23     -119.8
2018/249-15:19:23     -122.6
2018/249-15:29:23     -123.4
2018/249-15:39:23     -122.5
2018/249-15:49:23     -117.4
2018/249-15:59:23     -109.0
2018/249-16:09:23     -100.3
2018/249-16:19:23      -92.2
2018/249-16:29:23      -85.9
2018/249-16:39:23      -83.5
2018/249-16:49:23      -85.8
2018/249-16:59:23      -81.5
2018/249-17:09:23      -80.2
2018/249-17:19:23      -86.2
2018/249-17:29:23      -98.7
2018/249-17:39:23     -107.5
2018/249-17:49:23     -108.2
2018/249-17:59:23     -107.1
2018/249-18:09:23     -106.4
2018/249-18:19:23     -103.1
2018/249-18:29:23      -97.7
2018/249-18:39:23      -92.7
2018/249-18:49:23      -85.0
2018/249-18:59:23      -76.7
2018/249-19:09:23      -68.9
2018/249-19:19:23      -63.1
2018/249-19:29:23      -56.5
2018/249-19:39:23      -50.1
2018/249-19:49:23      -45.1
2018/249-19:59:23      -46.3
2018/249-20:09:23      -52.1
2018/249-20:19:23      -60.7
2018/249-20:29:23      -61.4
2018/249-20:39:23      -59.4
2018/249-20:49:23      -59.4
2018/249-20:59:23      -58.0
2018/249-21:09:23      -53.5
2018/249-21:19:23      -48.4
2018/249-21:29:23      -43.9
2018/249-21:39:23      -39.6
2018/249-21:49:23      -35.9
2018/249-21:59:23      -33.4
2018/249-22:09:23      -32.6
2018/249-22:19:23      -31.8
2018/249-22:29:23      -30.3
2018/249-22:39:23      -29.1
2018/249-22:49:23      -27.4
2018/249-22:59:23      -25.8
2018/249-23:09:23      -24.9
2018/249-23:19:23      -24.5
2018/249-23:29:23      -24.5
2018/249-23:39:23      -26.7
2018/249-23:49:23      -29.1
2018/249-23:59:23      -30.4
2018/250-00:09:23      -32.0
2018/250-00:19:23      -33.5
2018/250-00:29:23      -35.5
2018/250-00:39:23      -35.8
2018/250-00:49:23      -34.3
2018/250-00:59:23      -33.1
2018/250-01:09:23      -34.5
2018/250-01:19:23      -39.5
2018/250-01:29:23      -51.2
