      Time          Predicted AL
2018/122-09:19:23     -115.9
2018/122-09:29:23     -116.0
2018/122-09:39:23     -119.2
2018/122-09:49:23     -126.9
2018/122-09:59:23     -126.6
2018/122-10:09:23     -118.6
2018/122-10:19:23     -111.8
2018/122-10:29:23     -106.2
2018/122-10:39:23      -97.0
2018/122-10:49:23      -86.4
2018/122-10:59:23      -77.1
2018/122-11:09:23      -69.0
2018/122-11:19:23      -61.5
2018/122-11:29:23      -54.9
2018/122-11:39:23      -49.2
2018/122-11:49:23      -44.7
2018/122-11:59:23      -41.5
2018/122-12:09:23      -38.3
2018/122-12:19:23      -35.4
2018/122-12:29:23      -33.1
2018/122-12:39:23      -31.3
2018/122-12:49:23      -29.7
2018/122-12:59:23      -28.4
2018/122-13:09:23      -27.3
2018/122-13:19:23      -26.4
2018/122-13:29:23      -25.7
2018/122-13:39:23      -26.2
2018/122-13:49:23      -26.8
2018/122-13:59:23      -27.1
2018/122-14:09:23      -26.9
2018/122-14:19:23      -26.7
2018/122-14:29:23      -26.5
2018/122-14:39:23      -26.1
2018/122-14:49:23      -25.8
2018/122-14:59:23      -25.5
2018/122-15:09:23      -25.2
2018/122-15:19:23      -24.9
2018/122-15:29:23      -24.7
2018/122-15:39:23      -24.5
2018/122-15:49:23      -24.3
2018/122-15:59:23      -24.1
2018/122-16:09:23      -23.9
2018/122-16:19:23      -23.8
2018/122-16:29:23      -23.6
2018/122-16:39:23      -23.5
2018/122-16:49:23      -23.4
2018/122-16:59:23      -23.3
2018/122-17:09:23      -23.1
2018/122-17:19:23      -22.9
2018/122-17:29:23      -22.7
2018/122-17:39:23      -22.5
2018/122-17:49:23      -22.3
2018/122-17:59:23      -22.1
2018/122-18:09:23      -21.8
2018/122-18:19:23      -21.5
2018/122-18:29:23      -21.2
2018/122-18:39:23      -20.8
2018/122-18:49:23      -20.4
2018/122-18:59:23      -20.0
2018/122-19:09:23      -19.6
2018/122-19:19:23      -19.1
2018/122-19:29:23      -18.7
2018/122-19:39:23      -18.4
2018/122-19:49:23      -18.2
2018/122-19:59:23      -18.0
2018/122-20:09:23      -17.8
2018/122-20:19:23      -17.3
2018/122-20:29:23      -16.8
2018/122-20:39:23      -16.3
2018/122-20:49:23      -15.8
2018/122-20:59:23      -15.6
2018/122-21:09:23      -15.1
2018/122-21:19:23      -14.7
2018/122-21:29:23      -14.2
2018/122-21:39:23      -13.7
2018/122-21:49:23      -13.1
2018/122-21:59:23      -12.6
2018/122-22:09:23      -12.0
2018/122-22:19:23      -11.5
2018/122-22:29:23      -10.9
2018/122-22:39:23      -10.4
2018/122-22:49:23       -9.9
2018/122-22:59:23       -9.4
2018/122-23:09:23       -9.0
2018/122-23:19:23       -8.5
2018/122-23:29:23       -8.1
2018/122-23:39:23       -7.7
2018/122-23:49:23       -7.3
2018/122-23:59:23       -6.9
2018/123-00:09:23       -6.6
2018/123-00:19:23       -6.3
2018/123-00:29:23       -5.9
2018/123-00:39:23       -5.6
2018/123-00:49:23       -5.4
2018/123-00:59:23       -5.5
2018/123-01:09:23       -5.8
2018/123-01:19:23       -6.1
2018/123-01:29:23       -6.4
2018/123-01:39:23       -6.6
2018/123-01:49:23       -6.4
2018/123-01:59:23       -6.1
2018/123-02:09:23       -5.8
2018/123-02:19:23       -5.6
2018/123-02:29:23       -5.8
2018/123-02:39:23       -6.7
2018/123-02:49:23       -7.5
2018/123-02:59:23       -7.2
2018/123-03:09:23       -6.8
2018/123-03:19:23       -6.6
2018/123-03:29:23       -6.6
2018/123-03:39:23       -6.6
2018/123-03:49:23       -7.1
2018/123-03:59:23       -7.9
2018/123-04:09:23       -8.0
2018/123-04:19:23       -7.6
2018/123-04:29:23       -7.3
2018/123-04:39:23       -7.1
2018/123-04:49:23       -6.8
2018/123-04:59:23       -6.4
2018/123-05:09:23       -6.1
2018/123-05:19:23       -5.9
2018/123-05:29:23       -5.7
2018/123-05:39:23       -5.5
2018/123-05:49:23       -5.4
2018/123-05:59:23       -5.4
2018/123-06:09:23       -5.4
2018/123-06:19:23       -5.4
2018/123-06:29:23       -5.5
2018/123-06:39:23       -5.6
2018/123-06:49:23       -5.7
2018/123-06:59:23       -6.3
2018/123-07:09:23       -7.5
2018/123-07:19:23       -7.6
2018/123-07:29:23      -10.2
2018/123-07:39:23       -8.5
2018/123-07:49:23       -8.5
2018/123-07:59:23       -9.6
2018/123-08:09:23      -11.1
2018/123-08:19:23      -12.7
2018/123-08:29:23      -12.9
2018/123-08:39:23      -13.0
2018/123-08:49:23      -13.3
2018/123-08:59:23      -13.7
2018/123-09:09:23      -14.1
2018/123-09:19:23      -16.3
2018/123-09:29:23      -16.1
2018/123-09:39:23      -14.0
2018/123-09:49:23      -14.4
2018/123-09:59:23      -15.2
2018/123-10:09:23      -21.8
2018/123-10:19:23      -28.0
2018/123-10:29:23      -27.8
2018/123-10:39:23      -25.5
2018/123-10:49:23      -19.7
2018/123-10:59:23      -21.8
2018/123-11:09:23      -26.1
2018/123-11:19:23      -31.3
2018/123-11:29:23      -38.1
2018/123-11:39:23      -46.7
2018/123-11:49:23      -54.0
2018/123-11:59:23      -60.5
2018/123-12:09:23      -67.7
2018/123-12:19:23      -72.3
2018/123-12:29:23      -76.5
2018/123-12:39:23      -79.8
2018/123-12:49:23      -78.5
2018/123-12:59:23      -74.3
2018/123-13:09:23      -70.0
2018/123-13:19:23      -65.7
2018/123-13:29:23      -60.4
2018/123-13:39:23      -54.7
2018/123-13:49:23      -49.4
2018/123-13:59:23      -44.7
2018/123-14:09:23      -40.6
2018/123-14:19:23      -37.1
2018/123-14:29:23      -34.3
2018/123-14:39:23      -32.4
2018/123-14:49:23      -31.2
2018/123-14:59:23      -30.7
2018/123-15:09:23      -32.0
2018/123-15:19:23      -37.5
2018/123-15:29:23      -40.1
2018/123-15:39:23      -41.4
2018/123-15:49:23      -40.6
2018/123-15:59:23      -41.7
2018/123-16:09:23      -42.0
2018/123-16:19:23      -41.4
2018/123-16:29:23      -40.1
2018/123-16:39:23      -38.2
2018/123-16:49:23      -36.3
2018/123-16:59:23      -34.0
2018/123-17:09:23      -31.9
2018/123-17:19:23      -30.1
2018/123-17:29:23      -28.7
2018/123-17:39:23      -27.6
2018/123-17:49:23      -26.7
2018/123-17:59:23      -26.0
2018/123-18:09:23      -25.3
2018/123-18:19:23      -24.6
2018/123-18:29:23      -24.0
2018/123-18:39:23      -23.4
2018/123-18:49:23      -24.4
2018/123-18:59:23      -27.1
2018/123-19:09:23      -26.1
2018/123-19:19:23      -25.2
2018/123-19:29:23      -24.7
2018/123-19:39:23      -25.0
2018/123-19:49:23      -26.9
2018/123-19:59:23      -28.3
2018/123-20:09:23      -29.0
2018/123-20:19:23      -28.2
2018/123-20:29:23      -27.7
2018/123-20:39:23      -33.3
2018/123-20:49:23      -44.6
2018/123-20:59:23      -49.4
2018/123-21:09:23      -51.3
2018/123-21:19:23      -50.4
2018/123-21:29:23      -49.4
2018/123-21:39:23      -47.2
2018/123-21:49:23      -44.2
2018/123-21:59:23      -40.5
2018/123-22:09:23      -36.6
2018/123-22:19:23      -33.0
2018/123-22:29:23      -29.4
2018/123-22:39:23      -26.0
2018/123-22:49:23      -23.1
2018/123-22:59:23      -20.7
2018/123-23:09:23      -18.6
2018/123-23:19:23      -16.9
2018/123-23:29:23      -15.4
2018/123-23:39:23      -14.1
2018/123-23:49:23      -13.0
2018/123-23:59:23      -12.1
2018/124-00:09:23      -11.2
2018/124-00:19:23      -10.3
2018/124-00:29:23       -9.6
2018/124-00:39:23       -8.9
2018/124-00:49:23       -8.3
2018/124-00:59:23       -7.7
2018/124-01:09:23       -7.2
2018/124-01:19:23       -6.7
2018/124-01:29:23       -6.2
2018/124-01:39:23       -5.8
2018/124-01:49:23       -5.4
2018/124-01:59:23       -5.1
2018/124-02:09:23       -4.9
2018/124-02:19:23       -5.2
2018/124-02:29:23       -5.1
2018/124-02:39:23       -4.9
2018/124-02:49:23       -4.9
2018/124-02:59:23       -4.9
2018/124-03:09:23       -4.9
2018/124-03:19:23       -4.8
2018/124-03:29:23       -4.7
2018/124-03:39:23       -4.8
2018/124-03:49:23       -5.4
2018/124-03:59:23       -5.7
2018/124-04:09:23       -5.8
2018/124-04:19:23       -7.7
2018/124-04:29:23      -11.9
2018/124-04:39:23      -17.9
2018/124-04:49:23      -22.4
2018/124-04:59:23      -24.9
2018/124-05:09:23      -26.3
2018/124-05:19:23      -26.7
2018/124-05:29:23      -26.5
2018/124-05:39:23      -25.5
2018/124-05:49:23      -23.8
2018/124-05:59:23      -21.7
2018/124-06:09:23      -19.5
2018/124-06:19:23      -17.5
2018/124-06:29:23      -16.9
2018/124-06:39:23      -17.9
2018/124-06:49:23      -20.2
2018/124-06:59:23      -24.9
2018/124-07:09:23      -30.7
2018/124-07:19:23      -37.7
2018/124-07:29:23      -47.0
2018/124-07:39:23      -53.9
2018/124-07:49:23      -54.9
2018/124-07:59:23      -52.6
2018/124-08:09:23      -50.7
2018/124-08:19:23      -48.3
2018/124-08:29:23      -44.8
2018/124-08:39:23      -41.7
2018/124-08:49:23      -37.8
2018/124-08:59:23      -33.8
2018/124-09:09:23      -30.3
2018/124-09:19:23      -27.7
2018/124-09:29:23      -25.4
2018/124-09:39:23      -23.5
2018/124-09:49:23      -22.1
2018/124-09:59:23      -21.0
2018/124-10:09:23      -20.1
2018/124-10:19:23      -19.4
2018/124-10:29:23      -19.0
2018/124-10:39:23      -18.6
2018/124-10:49:23      -18.3
2018/124-10:59:23      -18.1
2018/124-11:09:23      -17.9
2018/124-11:19:23      -17.9
2018/124-11:29:23      -17.8
2018/124-11:39:23      -17.8
2018/124-11:49:23      -17.8
2018/124-11:59:23      -17.8
2018/124-12:09:23      -17.9
2018/124-12:19:23      -18.0
2018/124-12:29:23      -18.1
2018/124-12:39:23      -18.2
2018/124-12:49:23      -18.4
2018/124-12:59:23      -18.5
2018/124-13:09:23      -18.7
2018/124-13:19:23      -18.9
2018/124-13:29:23      -19.1
2018/124-13:39:23      -19.3
2018/124-13:49:23      -19.5
2018/124-13:59:23      -19.7
2018/124-14:09:23      -19.9
2018/124-14:19:23      -20.1
2018/124-14:29:23      -20.4
2018/124-14:39:23      -20.6
2018/124-14:49:23      -20.8
2018/124-14:59:23      -21.0
2018/124-15:09:23      -21.1
2018/124-15:19:23      -21.3
2018/124-15:29:23      -21.5
2018/124-15:39:23      -21.6
2018/124-15:49:23      -21.7
2018/124-15:59:23      -21.8
2018/124-16:09:23      -21.9
2018/124-16:19:23      -22.1
2018/124-16:29:23      -22.2
2018/124-16:39:23      -22.4
2018/124-16:49:23      -23.8
2018/124-16:59:23      -26.3
2018/124-17:09:23      -28.8
2018/124-17:19:23      -28.6
2018/124-17:29:23      -28.6
2018/124-17:39:23      -29.3
2018/124-17:49:23      -33.4
2018/124-17:59:23      -36.6
2018/124-18:09:23      -38.2
2018/124-18:19:23      -39.6
2018/124-18:29:23      -40.5
2018/124-18:39:23      -40.7
2018/124-18:49:23      -40.4
2018/124-18:59:23      -41.4
2018/124-19:09:23      -41.0
2018/124-19:19:23      -38.9
2018/124-19:29:23      -36.6
2018/124-19:39:23      -34.6
2018/124-19:49:23      -32.6
2018/124-19:59:23      -30.6
2018/124-20:09:23      -28.8
2018/124-20:19:23      -27.1
2018/124-20:29:23      -25.5
2018/124-20:39:23      -24.1
2018/124-20:49:23      -23.1
2018/124-20:59:23      -22.3
2018/124-21:09:23      -21.7
2018/124-21:19:23      -21.5
2018/124-21:29:23      -22.5
2018/124-21:39:23      -25.5
2018/124-21:49:23      -30.3
2018/124-21:59:23      -35.6
2018/124-22:09:23      -42.4
2018/124-22:19:23      -49.3
2018/124-22:29:23      -50.8
2018/124-22:39:23      -49.4
2018/124-22:49:23      -49.0
2018/124-22:59:23      -49.0
2018/124-23:09:23      -48.8
2018/124-23:19:23      -50.8
2018/124-23:29:23      -56.1
2018/124-23:39:23      -60.2
2018/124-23:49:23      -62.2
2018/124-23:59:23      -62.8
2018/125-00:09:23      -62.6
2018/125-00:19:23      -61.5
2018/125-00:29:23      -60.6
2018/125-00:39:23      -59.9
2018/125-00:49:23      -58.7
2018/125-00:59:23      -56.6
2018/125-01:09:23      -53.7
2018/125-01:19:23      -50.3
2018/125-01:29:23      -47.1
2018/125-01:39:23      -47.0
2018/125-01:49:23      -47.7
2018/125-01:59:23      -48.1
2018/125-02:09:23      -47.8
2018/125-02:19:23      -47.7
2018/125-02:29:23      -47.8
2018/125-02:39:23      -48.0
2018/125-02:49:23      -48.3
2018/125-02:59:23      -48.1
2018/125-03:09:23      -47.2
2018/125-03:19:23      -46.2
2018/125-03:29:23      -46.7
2018/125-03:39:23      -48.0
2018/125-03:49:23      -46.1
2018/125-03:59:23      -42.3
2018/125-04:09:23      -39.2
2018/125-04:19:23      -36.6
2018/125-04:29:23      -33.4
2018/125-04:39:23      -29.7
2018/125-04:49:23      -26.3
2018/125-04:59:23      -23.2
2018/125-05:09:23      -20.2
2018/125-05:19:23      -17.5
2018/125-05:29:23      -15.3
2018/125-05:39:23      -13.8
2018/125-05:49:23      -13.0
2018/125-05:59:23      -12.5
2018/125-06:09:23      -11.8
2018/125-06:19:23      -11.4
2018/125-06:29:23      -11.1
2018/125-06:39:23      -11.1
2018/125-06:49:23      -12.1
2018/125-06:59:23      -13.1
2018/125-07:09:23      -13.2
2018/125-07:19:23      -13.8
2018/125-07:29:23      -14.2
2018/125-07:39:23      -14.3
2018/125-07:49:23      -14.3
2018/125-07:59:23      -14.3
2018/125-08:09:23      -14.4
2018/125-08:19:23      -14.7
2018/125-08:29:23      -15.8
2018/125-08:39:23      -17.6
2018/125-08:49:23      -19.1
2018/125-08:59:23      -20.6
2018/125-09:09:23      -22.6
2018/125-09:19:23      -25.4
2018/125-09:29:23      -27.9
2018/125-09:39:23      -27.6
2018/125-09:49:23      -27.0
2018/125-09:59:23      -26.5
2018/125-10:09:23      -26.0
2018/125-10:19:23      -24.9
2018/125-10:29:23      -23.7
2018/125-10:39:23      -22.6
2018/125-10:49:23      -21.6
2018/125-10:59:23      -20.9
2018/125-11:09:23      -24.5
2018/125-11:19:23      -28.8
2018/125-11:29:23      -30.5
2018/125-11:39:23      -31.7
2018/125-11:49:23      -35.7
2018/125-11:59:23      -44.6
2018/125-12:09:23      -60.6
2018/125-12:19:23      -88.4
2018/125-12:29:23     -123.5
2018/125-12:39:23     -148.8
2018/125-12:49:23     -151.6
2018/125-12:59:23     -146.0
2018/125-13:09:23     -144.4
2018/125-13:19:23     -139.4
2018/125-13:29:23     -128.9
2018/125-13:39:23     -120.2
2018/125-13:49:23     -122.6
2018/125-13:59:23     -133.9
2018/125-14:09:23     -137.6
2018/125-14:19:23     -131.3
2018/125-14:29:23     -129.3
2018/125-14:39:23     -216.0
2018/125-14:49:23     -292.2
2018/125-14:59:23     -307.4
2018/125-15:09:23     -291.9
2018/125-15:19:23     -306.7
2018/125-15:29:23     -373.3
2018/125-15:39:23     -409.8
2018/125-15:49:23     -349.0
2018/125-15:59:23     -296.2
2018/125-16:09:23     -345.1
2018/125-16:19:23     -401.0
2018/125-16:29:23     -408.3
2018/125-16:39:23     -471.5
2018/125-16:49:23     -558.1
2018/125-16:59:23     -614.6
2018/125-17:09:23     -630.4
2018/125-17:19:23     -629.6
2018/125-17:29:23     -647.5
2018/125-17:39:23     -659.1
2018/125-17:49:23     -649.0
2018/125-17:59:23     -634.0
2018/125-18:09:23     -584.2
2018/125-18:19:23     -537.6
2018/125-18:29:23     -475.7
2018/125-18:39:23     -399.9
2018/125-18:49:23     -310.0
2018/125-18:59:23     -249.0
2018/125-19:09:23     -206.4
2018/125-19:19:23     -172.9
2018/125-19:29:23     -135.1
2018/125-19:39:23     -106.1
2018/125-19:49:23      -94.4
2018/125-19:59:23      -81.2
2018/125-20:09:23      -79.8
2018/125-20:19:23      -98.2
2018/125-20:29:23     -105.2
2018/125-20:39:23     -101.6
2018/125-20:49:23      -98.9
2018/125-20:59:23     -155.4
2018/125-21:09:23     -198.3
2018/125-21:19:23     -219.5
2018/125-21:29:23     -217.7
2018/125-21:39:23     -328.7
2018/125-21:49:23     -415.7
2018/125-21:59:23     -469.9
2018/125-22:09:23     -517.4
2018/125-22:19:23     -541.1
2018/125-22:29:23     -574.8
2018/125-22:39:23     -588.9
2018/125-22:49:23     -560.0
2018/125-22:59:23     -496.6
2018/125-23:09:23     -481.6
2018/125-23:19:23     -495.2
2018/125-23:29:23     -499.4
2018/125-23:39:23     -502.3
2018/125-23:49:23     -517.1
2018/125-23:59:23     -541.2
2018/126-00:09:23     -563.4
2018/126-00:19:23     -575.9
2018/126-00:29:23     -597.5
2018/126-00:39:23     -626.1
2018/126-00:49:23     -642.0
2018/126-00:59:23     -651.4
2018/126-01:09:23     -665.3
2018/126-01:19:23     -659.2
2018/126-01:29:23     -626.2
2018/126-01:39:23     -588.0
2018/126-01:49:23     -541.2
2018/126-01:59:23     -475.6
2018/126-02:09:23     -459.7
2018/126-02:19:23     -398.0
2018/126-02:29:23     -314.8
2018/126-02:39:23     -252.4
2018/126-02:49:23     -231.1
2018/126-02:59:23     -240.4
2018/126-03:09:23     -268.2
2018/126-03:19:23     -302.8
2018/126-03:29:23     -339.0
2018/126-03:39:23     -370.2
2018/126-03:49:23     -387.1
2018/126-03:59:23     -403.1
2018/126-04:09:23     -410.7
2018/126-04:19:23     -396.7
2018/126-04:29:23     -371.9
2018/126-04:39:23     -357.7
2018/126-04:49:23     -336.8
2018/126-04:59:23     -300.8
2018/126-05:09:23     -281.8
2018/126-05:19:23     -282.3
2018/126-05:29:23     -273.3
2018/126-05:39:23     -253.1
2018/126-05:49:23     -236.7
2018/126-05:59:23     -242.1
2018/126-06:09:23     -254.0
2018/126-06:19:23     -234.6
2018/126-06:29:23     -196.6
2018/126-06:39:23     -173.1
2018/126-06:49:23     -184.4
2018/126-06:59:23     -231.9
2018/126-07:09:23     -230.3
2018/126-07:19:23     -190.3
2018/126-07:29:23     -166.6
2018/126-07:39:23     -169.1
2018/126-07:49:23     -154.3
2018/126-07:59:23     -133.5
2018/126-08:09:23     -117.7
2018/126-08:19:23     -105.3
2018/126-08:29:23      -95.1
2018/126-08:39:23      -87.2
2018/126-08:49:23     -100.6
2018/126-08:59:23     -139.8
2018/126-09:09:23     -203.3
2018/126-09:19:23     -273.9
2018/126-09:29:23     -328.8
2018/126-09:39:23     -361.2
2018/126-09:49:23     -378.4
2018/126-09:59:23     -379.7
2018/126-10:09:23     -356.3
2018/126-10:19:23     -324.8
2018/126-10:29:23     -309.4
2018/126-10:39:23     -295.9
2018/126-10:49:23     -275.3
2018/126-10:59:23     -292.9
