      Time          Predicted AL
2018/214-07:59:23      -57.8
2018/214-08:09:23      -56.7
2018/214-08:19:23      -56.6
2018/214-08:29:23      -56.6
2018/214-08:39:23      -55.6
2018/214-08:49:23      -53.9
2018/214-08:59:23      -51.9
2018/214-09:09:23      -49.7
2018/214-09:19:23      -47.3
2018/214-09:29:23      -45.1
2018/214-09:39:23      -43.3
2018/214-09:49:23      -41.9
2018/214-09:59:23      -40.9
2018/214-10:09:23      -39.7
2018/214-10:19:23      -38.6
2018/214-10:29:23      -37.5
2018/214-10:39:23      -36.6
2018/214-10:49:23      -35.6
2018/214-10:59:23      -34.3
2018/214-11:09:23      -32.9
2018/214-11:19:23      -31.6
2018/214-11:29:23      -30.3
2018/214-11:39:23      -29.2
2018/214-11:49:23      -28.4
2018/214-11:59:23      -27.7
2018/214-12:09:23      -27.2
2018/214-12:19:23      -26.8
2018/214-12:29:23      -26.6
2018/214-12:39:23      -26.6
2018/214-12:49:23      -26.7
2018/214-12:59:23      -26.8
2018/214-13:09:23      -27.0
2018/214-13:19:23      -26.9
2018/214-13:29:23      -26.8
2018/214-13:39:23      -26.7
2018/214-13:49:23      -26.4
2018/214-13:59:23      -26.1
2018/214-14:09:23      -25.8
2018/214-14:19:23      -25.6
2018/214-14:29:23      -25.4
2018/214-14:39:23      -25.1
2018/214-14:49:23      -24.9
2018/214-14:59:23      -24.7
2018/214-15:09:23      -24.5
2018/214-15:19:23      -24.3
2018/214-15:29:23      -24.2
2018/214-15:39:23      -24.1
2018/214-15:49:23      -24.0
2018/214-15:59:23      -23.9
2018/214-16:09:23      -23.9
2018/214-16:19:23      -23.9
2018/214-16:29:23      -23.8
2018/214-16:39:23      -23.8
2018/214-16:49:23      -23.8
2018/214-16:59:23      -23.7
2018/214-17:09:23      -23.7
2018/214-17:19:23      -23.6
2018/214-17:29:23      -23.5
2018/214-17:39:23      -23.4
2018/214-17:49:23      -23.4
2018/214-17:59:23      -23.3
2018/214-18:09:23      -23.2
2018/214-18:19:23      -23.1
2018/214-18:29:23      -22.9
2018/214-18:39:23      -22.8
2018/214-18:49:23      -22.7
2018/214-18:59:23      -22.5
2018/214-19:09:23      -22.4
2018/214-19:19:23      -22.2
2018/214-19:29:23      -22.0
2018/214-19:39:23      -21.9
2018/214-19:49:23      -21.7
2018/214-19:59:23      -21.5
2018/214-20:09:23      -21.2
2018/214-20:19:23      -21.0
2018/214-20:29:23      -20.8
2018/214-20:39:23      -20.6
2018/214-20:49:23      -20.3
2018/214-20:59:23      -20.1
2018/214-21:09:23      -20.1
2018/214-21:19:23      -19.9
2018/214-21:29:23      -20.1
2018/214-21:39:23      -21.1
2018/214-21:49:23      -21.5
2018/214-21:59:23      -21.3
2018/214-22:09:23      -21.3
2018/214-22:19:23      -21.7
2018/214-22:29:23      -22.1
2018/214-22:39:23      -21.9
2018/214-22:49:23      -21.4
2018/214-22:59:23      -21.2
2018/214-23:09:23      -21.2
2018/214-23:19:23      -21.0
2018/214-23:29:23      -20.7
2018/214-23:39:23      -20.2
2018/214-23:49:23      -19.7
2018/214-23:59:23      -19.2
2018/215-00:09:23      -18.6
2018/215-00:19:23      -18.1
2018/215-00:29:23      -17.7
2018/215-00:39:23      -17.4
2018/215-00:49:23      -17.1
2018/215-00:59:23      -16.9
2018/215-01:09:23      -16.7
2018/215-01:19:23      -16.3
2018/215-01:29:23      -17.0
2018/215-01:39:23      -21.9
2018/215-01:49:23      -19.1
2018/215-01:59:23      -14.8
2018/215-02:09:23      -14.4
2018/215-02:19:23      -14.1
2018/215-02:29:23      -13.9
2018/215-02:39:23      -13.6
2018/215-02:49:23      -13.4
2018/215-02:59:23      -13.2
2018/215-03:09:23      -13.1
2018/215-03:19:23      -12.9
2018/215-03:29:23      -12.8
2018/215-03:39:23      -12.8
2018/215-03:49:23      -12.7
2018/215-03:59:23      -12.6
2018/215-04:09:23      -12.6
2018/215-04:19:23      -12.6
2018/215-04:29:23      -12.6
2018/215-04:39:23      -12.6
2018/215-04:49:23      -12.7
2018/215-04:59:23      -13.0
2018/215-05:09:23      -13.8
2018/215-05:19:23      -15.3
2018/215-05:29:23      -17.2
2018/215-05:39:23      -18.8
2018/215-05:49:23      -21.2
2018/215-05:59:23      -26.3
2018/215-06:09:23      -32.8
2018/215-06:19:23      -38.0
2018/215-06:29:23      -42.9
2018/215-06:39:23      -50.3
2018/215-06:49:23      -60.2
2018/215-06:59:23      -70.3
2018/215-07:09:23      -79.2
2018/215-07:19:23      -86.3
2018/215-07:29:23      -91.9
2018/215-07:39:23      -96.4
2018/215-07:49:23      -99.7
2018/215-07:59:23     -101.4
2018/215-08:09:23     -103.3
2018/215-08:19:23     -105.3
2018/215-08:29:23     -107.2
2018/215-08:39:23     -110.3
2018/215-08:49:23     -114.7
2018/215-08:59:23     -120.1
2018/215-09:09:23     -126.5
2018/215-09:19:23     -133.8
2018/215-09:29:23     -139.9
2018/215-09:39:23     -144.9
2018/215-09:49:23     -151.5
2018/215-09:59:23     -158.2
2018/215-10:09:23     -164.2
2018/215-10:19:23     -169.3
2018/215-10:29:23     -173.5
2018/215-10:39:23     -177.4
2018/215-10:49:23     -176.6
2018/215-10:59:23     -163.3
2018/215-11:09:23     -147.5
2018/215-11:19:23     -134.2
2018/215-11:29:23     -122.3
2018/215-11:39:23     -109.1
2018/215-11:49:23      -95.3
2018/215-11:59:23      -82.5
2018/215-12:09:23      -72.5
2018/215-12:19:23      -68.8
2018/215-12:29:23      -65.0
2018/215-12:39:23      -61.6
2018/215-12:49:23      -61.6
2018/215-12:59:23      -64.9
2018/215-13:09:23      -67.0
2018/215-13:19:23      -68.6
2018/215-13:29:23      -71.0
2018/215-13:39:23      -73.5
2018/215-13:49:23      -75.7
2018/215-13:59:23      -78.8
2018/215-14:09:23      -81.9
2018/215-14:19:23      -83.4
2018/215-14:29:23      -85.0
2018/215-14:39:23      -87.8
2018/215-14:49:23      -90.3
2018/215-14:59:23      -92.5
2018/215-15:09:23      -96.9
2018/215-15:19:23     -101.2
2018/215-15:29:23     -103.0
2018/215-15:39:23     -103.2
2018/215-15:49:23     -102.6
2018/215-15:59:23     -100.7
2018/215-16:09:23      -98.1
2018/215-16:19:23      -95.5
2018/215-16:29:23      -93.3
2018/215-16:39:23      -92.8
2018/215-16:49:23      -90.8
2018/215-16:59:23      -86.8
2018/215-17:09:23      -84.1
2018/215-17:19:23      -81.1
2018/215-17:29:23      -77.3
2018/215-17:39:23      -72.5
2018/215-17:49:23      -67.3
2018/215-17:59:23      -61.7
2018/215-18:09:23      -56.0
2018/215-18:19:23      -50.6
2018/215-18:29:23      -45.8
2018/215-18:39:23      -41.8
2018/215-18:49:23      -38.9
2018/215-18:59:23      -36.2
2018/215-19:09:23      -34.0
2018/215-19:19:23      -32.4
2018/215-19:29:23      -31.0
2018/215-19:39:23      -29.7
2018/215-19:49:23      -28.4
2018/215-19:59:23      -27.4
2018/215-20:09:23      -26.4
2018/215-20:19:23      -25.7
2018/215-20:29:23      -24.9
2018/215-20:39:23      -24.1
2018/215-20:49:23      -23.7
2018/215-20:59:23      -23.1
2018/215-21:09:23      -22.4
2018/215-21:19:23      -21.8
2018/215-21:29:23      -21.2
2018/215-21:39:23      -20.6
2018/215-21:49:23      -20.0
2018/215-21:59:23      -19.3
2018/215-22:09:23      -18.4
2018/215-22:19:23      -18.8
2018/215-22:29:23      -18.6
2018/215-22:39:23      -18.3
2018/215-22:49:23      -17.9
2018/215-22:59:23      -17.5
2018/215-23:09:23      -17.1
2018/215-23:19:23      -16.8
2018/215-23:29:23      -16.6
2018/215-23:39:23      -16.8
2018/215-23:49:23      -16.8
2018/215-23:59:23      -16.8
2018/216-00:09:23      -18.6
2018/216-00:19:23      -24.5
2018/216-00:29:23      -34.6
2018/216-00:39:23      -48.3
2018/216-00:49:23      -54.3
2018/216-00:59:23      -60.2
2018/216-01:09:23      -76.9
2018/216-01:19:23      -96.8
2018/216-01:29:23     -111.6
2018/216-01:39:23     -119.2
2018/216-01:49:23     -116.6
2018/216-01:59:23     -112.1
2018/216-02:09:23     -121.1
2018/216-02:19:23     -135.1
2018/216-02:29:23     -140.4
2018/216-02:39:23     -138.0
2018/216-02:49:23     -129.6
2018/216-02:59:23     -121.0
2018/216-03:09:23     -112.1
2018/216-03:19:23     -102.1
2018/216-03:29:23      -91.7
2018/216-03:39:23      -87.4
2018/216-03:49:23      -81.8
2018/216-03:59:23      -70.6
2018/216-04:09:23      -60.8
2018/216-04:19:23      -54.9
2018/216-04:29:23      -54.7
2018/216-04:39:23      -55.5
2018/216-04:49:23      -50.8
2018/216-04:59:23      -46.6
2018/216-05:09:23      -44.4
2018/216-05:19:23      -42.7
2018/216-05:29:23      -41.3
2018/216-05:39:23      -39.7
2018/216-05:49:23      -37.3
2018/216-05:59:23      -34.5
2018/216-06:09:23      -32.3
2018/216-06:19:23      -30.1
2018/216-06:29:23      -28.1
2018/216-06:39:23      -26.2
2018/216-06:49:23      -24.5
2018/216-06:59:23      -23.1
2018/216-07:09:23      -21.8
2018/216-07:19:23      -20.6
2018/216-07:29:23      -19.7
2018/216-07:39:23      -18.9
2018/216-07:49:23      -18.3
2018/216-07:59:23      -17.8
2018/216-08:09:23      -17.4
2018/216-08:19:23      -17.1
2018/216-08:29:23      -16.8
2018/216-08:39:23      -16.5
2018/216-08:49:23      -16.3
2018/216-08:59:23      -16.1
2018/216-09:09:23      -16.0
2018/216-09:19:23      -15.8
2018/216-09:29:23      -15.7
2018/216-09:39:23      -15.7
2018/216-09:49:23      -17.5
2018/216-09:59:23      -20.4
2018/216-10:09:23      -22.4
2018/216-10:19:23      -24.0
2018/216-10:29:23      -26.4
2018/216-10:39:23      -29.3
2018/216-10:49:23      -32.2
2018/216-10:59:23      -34.8
2018/216-11:09:23      -35.5
2018/216-11:19:23      -35.2
2018/216-11:29:23      -35.0
2018/216-11:39:23      -34.7
2018/216-11:49:23      -34.0
2018/216-11:59:23      -33.0
2018/216-12:09:23      -31.8
2018/216-12:19:23      -30.5
2018/216-12:29:23      -28.9
2018/216-12:39:23      -27.5
2018/216-12:49:23      -26.3
2018/216-12:59:23      -25.5
2018/216-13:09:23      -25.3
2018/216-13:19:23      -25.2
2018/216-13:29:23      -25.0
2018/216-13:39:23      -24.7
2018/216-13:49:23      -24.7
2018/216-13:59:23      -24.8
2018/216-14:09:23      -25.1
2018/216-14:19:23      -25.5
2018/216-14:29:23      -26.1
2018/216-14:39:23      -27.3
2018/216-14:49:23      -28.7
2018/216-14:59:23      -29.5
2018/216-15:09:23      -30.0
2018/216-15:19:23      -30.5
2018/216-15:29:23      -30.9
2018/216-15:39:23      -30.8
2018/216-15:49:23      -30.3
2018/216-15:59:23      -29.5
2018/216-16:09:23      -28.7
2018/216-16:19:23      -27.8
2018/216-16:29:23      -27.0
2018/216-16:39:23      -26.3
2018/216-16:49:23      -25.8
2018/216-16:59:23      -25.3
2018/216-17:09:23      -25.0
2018/216-17:19:23      -24.6
2018/216-17:29:23      -24.4
2018/216-17:39:23      -24.1
2018/216-17:49:23      -23.9
2018/216-17:59:23      -23.7
2018/216-18:09:23      -23.7
2018/216-18:19:23      -23.7
2018/216-18:29:23      -23.9
2018/216-18:39:23      -23.6
2018/216-18:49:23      -23.3
2018/216-18:59:23      -23.1
2018/216-19:09:23      -22.9
2018/216-19:19:23      -22.6
2018/216-19:29:23      -22.2
2018/216-19:39:23      -21.9
2018/216-19:49:23      -21.5
2018/216-19:59:23      -21.2
2018/216-20:09:23      -20.8
2018/216-20:19:23      -20.4
2018/216-20:29:23      -20.0
2018/216-20:39:23      -19.8
2018/216-20:49:23      -19.5
2018/216-20:59:23      -19.2
2018/216-21:09:23      -18.9
2018/216-21:19:23      -18.5
2018/216-21:29:23      -18.2
2018/216-21:39:23      -18.0
2018/216-21:49:23      -17.7
2018/216-21:59:23      -17.3
2018/216-22:09:23      -17.0
2018/216-22:19:23      -16.6
2018/216-22:29:23      -17.7
2018/216-22:39:23      -18.9
2018/216-22:49:23      -18.9
2018/216-22:59:23      -18.8
2018/216-23:09:23      -18.8
2018/216-23:19:23      -18.8
2018/216-23:29:23      -18.5
2018/216-23:39:23      -18.0
2018/216-23:49:23      -17.4
2018/216-23:59:23      -17.0
2018/217-00:09:23      -16.7
2018/217-00:19:23      -16.2
2018/217-00:29:23      -15.6
2018/217-00:39:23      -15.1
2018/217-00:49:23      -14.8
2018/217-00:59:23      -14.4
2018/217-01:09:23      -14.0
2018/217-01:19:23      -13.9
2018/217-01:29:23      -13.8
2018/217-01:39:23      -13.9
2018/217-01:49:23      -13.8
2018/217-01:59:23      -13.8
2018/217-02:09:23      -13.8
2018/217-02:19:23      -13.8
2018/217-02:29:23      -13.6
2018/217-02:39:23      -13.4
2018/217-02:49:23      -13.4
2018/217-02:59:23      -14.1
2018/217-03:09:23      -14.5
2018/217-03:19:23      -14.4
2018/217-03:29:23      -14.3
2018/217-03:39:23      -14.4
2018/217-03:49:23      -14.4
2018/217-03:59:23      -14.3
2018/217-04:09:23      -14.1
2018/217-04:19:23      -13.9
2018/217-04:29:23      -13.7
2018/217-04:39:23      -14.1
2018/217-04:49:23      -14.1
2018/217-04:59:23      -13.8
2018/217-05:09:23      -13.6
2018/217-05:19:23      -13.6
2018/217-05:29:23      -13.8
2018/217-05:39:23      -15.5
2018/217-05:49:23      -15.3
2018/217-05:59:23      -15.2
2018/217-06:09:23      -15.2
2018/217-06:19:23      -15.5
2018/217-06:29:23      -15.5
2018/217-06:39:23      -15.3
2018/217-06:49:23      -16.3
2018/217-06:59:23      -16.5
2018/217-07:09:23      -16.5
2018/217-07:19:23      -17.3
2018/217-07:29:23      -19.5
2018/217-07:39:23      -20.0
2018/217-07:49:23      -20.4
2018/217-07:59:23      -23.0
2018/217-08:09:23      -24.8
2018/217-08:19:23      -25.3
2018/217-08:29:23      -24.8
2018/217-08:39:23      -24.4
2018/217-08:49:23      -23.7
2018/217-08:59:23      -22.9
2018/217-09:09:23      -22.1
2018/217-09:19:23      -21.3
2018/217-09:29:23      -20.6
2018/217-09:39:23      -20.6
2018/217-09:49:23      -34.0
2018/217-09:59:23      -59.7
2018/217-10:09:23      -84.6
2018/217-10:19:23     -105.0
2018/217-10:29:23     -126.3
2018/217-10:39:23     -151.0
2018/217-10:49:23     -170.1
2018/217-10:59:23     -193.6
2018/217-11:09:23     -215.3
2018/217-11:19:23     -224.7
2018/217-11:29:23     -223.5
2018/217-11:39:23     -209.8
2018/217-11:49:23     -191.1
2018/217-11:59:23     -172.1
2018/217-12:09:23     -153.0
2018/217-12:19:23     -132.7
2018/217-12:29:23     -113.4
2018/217-12:39:23      -97.7
2018/217-12:49:23      -86.3
2018/217-12:59:23      -72.5
2018/217-13:09:23      -62.3
2018/217-13:19:23      -55.3
2018/217-13:29:23      -53.8
2018/217-13:39:23      -61.3
2018/217-13:49:23      -73.5
2018/217-13:59:23      -83.3
2018/217-14:09:23      -85.7
2018/217-14:19:23      -87.0
2018/217-14:29:23      -90.4
2018/217-14:39:23      -90.3
2018/217-14:49:23      -86.7
2018/217-14:59:23      -80.2
2018/217-15:09:23      -73.4
2018/217-15:19:23      -67.7
2018/217-15:29:23      -63.6
2018/217-15:39:23      -59.7
2018/217-15:49:23      -56.7
2018/217-15:59:23      -54.3
2018/217-16:09:23      -52.3
2018/217-16:19:23      -50.9
2018/217-16:29:23      -50.0
2018/217-16:39:23      -48.0
2018/217-16:49:23      -45.2
2018/217-16:59:23      -42.9
2018/217-17:09:23      -41.1
2018/217-17:19:23      -39.5
2018/217-17:29:23      -38.0
2018/217-17:39:23      -36.6
2018/217-17:49:23      -35.4
2018/217-17:59:23      -34.4
2018/217-18:09:23      -33.5
2018/217-18:19:23      -33.4
2018/217-18:29:23      -33.8
2018/217-18:39:23      -33.8
2018/217-18:49:23      -33.4
2018/217-18:59:23      -33.1
2018/217-19:09:23      -32.9
2018/217-19:19:23      -32.5
2018/217-19:29:23      -31.9
2018/217-19:39:23      -31.5
2018/217-19:49:23      -30.9
2018/217-19:59:23      -30.2
2018/217-20:09:23      -29.7
2018/217-20:19:23      -29.2
2018/217-20:29:23      -28.7
2018/217-20:39:23      -28.1
2018/217-20:49:23      -27.6
2018/217-20:59:23      -27.1
2018/217-21:09:23      -26.5
2018/217-21:19:23      -25.9
2018/217-21:29:23      -25.4
2018/217-21:39:23      -24.7
2018/217-21:49:23      -24.0
2018/217-21:59:23      -23.4
2018/217-22:09:23      -22.9
2018/217-22:19:23      -22.4
2018/217-22:29:23      -21.8
2018/217-22:39:23      -21.1
2018/217-22:49:23      -20.4
2018/217-22:59:23      -19.9
2018/217-23:09:23      -19.6
2018/217-23:19:23      -19.3
2018/217-23:29:23      -19.0
2018/217-23:39:23      -18.8
2018/217-23:49:23      -18.4
2018/217-23:59:23      -18.2
2018/218-00:09:23      -18.2
2018/218-00:19:23      -18.1
2018/218-00:29:23      -17.7
2018/218-00:39:23      -17.4
2018/218-00:49:23      -17.2
2018/218-00:59:23      -16.9
2018/218-01:09:23      -16.6
2018/218-01:19:23      -16.2
2018/218-01:29:23      -15.9
2018/218-01:39:23      -15.7
2018/218-01:49:23      -15.6
2018/218-01:59:23      -15.8
2018/218-02:09:23      -16.0
2018/218-02:19:23      -16.2
2018/218-02:29:23      -16.8
2018/218-02:39:23      -17.7
2018/218-02:49:23      -18.6
2018/218-02:59:23      -18.7
2018/218-03:09:23      -18.4
2018/218-03:19:23      -18.0
2018/218-03:29:23      -17.6
2018/218-03:39:23      -17.1
2018/218-03:49:23      -16.6
2018/218-03:59:23      -16.1
2018/218-04:09:23      -15.7
2018/218-04:19:23      -15.3
2018/218-04:29:23      -14.9
2018/218-04:39:23      -14.6
2018/218-04:49:23      -14.4
2018/218-04:59:23      -14.2
2018/218-05:09:23      -14.0
2018/218-05:19:23      -13.9
2018/218-05:29:23      -13.7
2018/218-05:39:23      -13.9
2018/218-05:49:23      -15.3
2018/218-05:59:23      -16.5
2018/218-06:09:23      -17.2
2018/218-06:19:23      -17.5
2018/218-06:29:23      -17.8
2018/218-06:39:23      -18.1
2018/218-06:49:23      -18.1
2018/218-06:59:23      -17.9
2018/218-07:09:23      -17.6
2018/218-07:19:23      -17.1
2018/218-07:29:23      -16.5
2018/218-07:39:23      -16.0
2018/218-07:49:23      -15.6
2018/218-07:59:23      -15.3
2018/218-08:09:23      -15.1
2018/218-08:19:23      -15.0
2018/218-08:29:23      -15.1
2018/218-08:39:23      -15.5
2018/218-08:49:23      -16.0
2018/218-08:59:23      -16.5
2018/218-09:09:23      -16.7
2018/218-09:19:23      -16.8
2018/218-09:29:23      -16.7
2018/218-09:39:23      -16.6
2018/218-09:49:23      -16.8
2018/218-09:59:23      -16.9
2018/218-10:09:23      -16.7
2018/218-10:19:23      -16.6
2018/218-10:29:23      -16.6
2018/218-10:39:23      -16.6
2018/218-10:49:23      -16.5
2018/218-10:59:23      -16.5
2018/218-11:09:23      -16.4
2018/218-11:19:23      -16.3
2018/218-11:29:23      -16.3
2018/218-11:39:23      -16.2
2018/218-11:49:23      -16.2
2018/218-11:59:23      -16.2
2018/218-12:09:23      -16.2
2018/218-12:19:23      -16.3
2018/218-12:29:23      -16.4
2018/218-12:39:23      -16.5
2018/218-12:49:23      -16.6
2018/218-12:59:23      -16.7
2018/218-13:09:23      -16.9
2018/218-13:19:23      -17.0
2018/218-13:29:23      -17.2
2018/218-13:39:23      -17.4
2018/218-13:49:23      -17.5
2018/218-13:59:23      -17.7
2018/218-14:09:23      -18.2
2018/218-14:19:23      -21.1
2018/218-14:29:23      -22.8
2018/218-14:39:23      -24.1
2018/218-14:49:23      -25.0
2018/218-14:59:23      -26.1
2018/218-15:09:23      -26.7
2018/218-15:19:23      -27.0
2018/218-15:29:23      -26.9
2018/218-15:39:23      -26.5
2018/218-15:49:23      -25.9
2018/218-15:59:23      -25.5
2018/218-16:09:23      -25.8
2018/218-16:19:23      -25.7
2018/218-16:29:23      -25.3
2018/218-16:39:23      -25.3
2018/218-16:49:23      -25.6
2018/218-16:59:23      -25.4
2018/218-17:09:23      -25.2
2018/218-17:19:23      -24.9
2018/218-17:29:23      -24.7
2018/218-17:39:23      -24.5
2018/218-17:49:23      -24.3
2018/218-17:59:23      -24.4
2018/218-18:09:23      -24.4
2018/218-18:19:23      -24.2
2018/218-18:29:23      -24.1
2018/218-18:39:23      -24.0
2018/218-18:49:23      -23.9
2018/218-18:59:23      -23.7
2018/218-19:09:23      -23.5
2018/218-19:19:23      -23.3
2018/218-19:29:23      -23.1
2018/218-19:39:23      -22.8
2018/218-19:49:23      -22.4
2018/218-19:59:23      -22.1
2018/218-20:09:23      -21.8
2018/218-20:19:23      -22.1
2018/218-20:29:23      -22.4
2018/218-20:39:23      -22.3
2018/218-20:49:23      -22.0
2018/218-20:59:23      -21.7
2018/218-21:09:23      -21.4
2018/218-21:19:23      -20.9
2018/218-21:29:23      -20.5
2018/218-21:39:23      -20.0
2018/218-21:49:23      -19.5
2018/218-21:59:23      -19.1
2018/218-22:09:23      -19.0
2018/218-22:19:23      -18.8
2018/218-22:29:23      -18.5
2018/218-22:39:23      -18.4
2018/218-22:49:23      -18.2
2018/218-22:59:23      -18.0
2018/218-23:09:23      -17.7
2018/218-23:19:23      -17.6
2018/218-23:29:23      -17.3
2018/218-23:39:23      -16.8
2018/218-23:49:23      -16.3
2018/218-23:59:23      -15.9
2018/219-00:09:23      -15.5
2018/219-00:19:23      -15.1
2018/219-00:29:23      -16.7
2018/219-00:39:23      -22.3
2018/219-00:49:23      -25.0
2018/219-00:59:23      -24.1
2018/219-01:09:23      -24.0
2018/219-01:19:23      -27.5
2018/219-01:29:23      -35.8
