      Time          Predicted AL
2018/213-00:09:23     -156.9
2018/213-00:19:23     -159.8
2018/213-00:29:23     -158.6
2018/213-00:39:23     -150.4
2018/213-00:49:23     -141.3
2018/213-00:59:23     -129.7
2018/213-01:09:23     -116.7
2018/213-01:19:23     -102.9
2018/213-01:29:23      -90.0
2018/213-01:39:23      -78.3
2018/213-01:49:23      -66.8
2018/213-01:59:23      -56.7
2018/213-02:09:23      -48.3
2018/213-02:19:23      -41.6
2018/213-02:29:23      -36.5
2018/213-02:39:23      -32.3
2018/213-02:49:23      -29.1
2018/213-02:59:23      -26.6
2018/213-03:09:23      -24.7
2018/213-03:19:23      -23.1
2018/213-03:29:23      -21.8
2018/213-03:39:23      -20.7
2018/213-03:49:23      -19.8
2018/213-03:59:23      -19.0
2018/213-04:09:23      -18.3
2018/213-04:19:23      -17.7
2018/213-04:29:23      -17.2
2018/213-04:39:23      -16.7
2018/213-04:49:23      -16.4
2018/213-04:59:23      -16.1
2018/213-05:09:23      -15.8
2018/213-05:19:23      -15.5
2018/213-05:29:23      -15.3
2018/213-05:39:23      -15.1
2018/213-05:49:23      -14.9
2018/213-05:59:23      -14.8
2018/213-06:09:23      -14.7
2018/213-06:19:23      -14.6
2018/213-06:29:23      -14.5
2018/213-06:39:23      -14.4
2018/213-06:49:23      -14.6
2018/213-06:59:23      -16.8
2018/213-07:09:23      -19.0
2018/213-07:19:23      -21.7
2018/213-07:29:23      -24.6
2018/213-07:39:23      -28.0
2018/213-07:49:23      -31.4
2018/213-07:59:23      -34.6
2018/213-08:09:23      -37.6
2018/213-08:19:23      -40.2
2018/213-08:29:23      -42.6
2018/213-08:39:23      -44.6
2018/213-08:49:23      -46.3
2018/213-08:59:23      -47.8
2018/213-09:09:23      -49.1
2018/213-09:19:23      -50.5
2018/213-09:29:23      -51.7
2018/213-09:39:23      -52.9
2018/213-09:49:23      -54.1
2018/213-09:59:23      -55.3
2018/213-10:09:23      -56.4
2018/213-10:19:23      -57.6
2018/213-10:29:23      -58.7
2018/213-10:39:23      -59.9
2018/213-10:49:23      -61.0
2018/213-10:59:23      -62.1
2018/213-11:09:23      -63.2
2018/213-11:19:23      -64.4
2018/213-11:29:23      -65.4
2018/213-11:39:23      -66.5
2018/213-11:49:23      -67.4
2018/213-11:59:23      -66.1
2018/213-12:09:23      -64.7
2018/213-12:19:23      -64.0
2018/213-12:29:23      -60.4
2018/213-12:39:23      -55.7
2018/213-12:49:23      -51.2
2018/213-12:59:23      -47.1
2018/213-13:09:23      -42.9
2018/213-13:19:23      -40.7
2018/213-13:29:23      -36.2
2018/213-13:39:23      -33.3
2018/213-13:49:23      -31.4
2018/213-13:59:23      -30.0
2018/213-14:09:23      -29.1
2018/213-14:19:23      -28.3
2018/213-14:29:23      -30.5
2018/213-14:39:23      -33.8
2018/213-14:49:23      -48.0
2018/213-14:59:23      -50.6
2018/213-15:09:23      -50.1
2018/213-15:19:23      -52.5
2018/213-15:29:23      -56.7
2018/213-15:39:23      -57.0
2018/213-15:49:23      -58.8
2018/213-15:59:23      -61.0
2018/213-16:09:23      -59.4
2018/213-16:19:23      -57.5
2018/213-16:29:23      -58.6
2018/213-16:39:23      -58.5
2018/213-16:49:23      -54.8
2018/213-16:59:23      -52.1
2018/213-17:09:23      -52.4
2018/213-17:19:23      -55.4
2018/213-17:29:23      -54.9
2018/213-17:39:23      -52.8
2018/213-17:49:23      -51.6
2018/213-17:59:23      -52.4
2018/213-18:09:23      -52.7
2018/213-18:19:23      -51.4
2018/213-18:29:23      -49.3
2018/213-18:39:23      -46.9
2018/213-18:49:23      -44.4
2018/213-18:59:23      -41.6
2018/213-19:09:23      -39.4
2018/213-19:19:23      -38.1
2018/213-19:29:23      -37.2
2018/213-19:39:23      -39.3
2018/213-19:49:23      -52.5
2018/213-19:59:23      -75.3
2018/213-20:09:23      -91.2
2018/213-20:19:23     -100.2
2018/213-20:29:23     -102.8
2018/213-20:39:23     -104.1
2018/213-20:49:23     -101.1
2018/213-20:59:23      -95.2
2018/213-21:09:23      -87.3
2018/213-21:19:23      -82.2
2018/213-21:29:23      -81.0
2018/213-21:39:23      -76.8
2018/213-21:49:23      -70.1
2018/213-21:59:23      -63.8
2018/213-22:09:23      -60.2
2018/213-22:19:23      -57.1
2018/213-22:29:23      -53.2
2018/213-22:39:23      -49.2
2018/213-22:49:23      -45.8
2018/213-22:59:23      -41.6
2018/213-23:09:23      -37.8
2018/213-23:19:23      -34.5
2018/213-23:29:23      -31.6
2018/213-23:39:23      -29.0
2018/213-23:49:23      -26.9
2018/213-23:59:23      -25.1
2018/214-00:09:23      -24.1
2018/214-00:19:23      -24.2
2018/214-00:29:23      -22.8
2018/214-00:39:23      -22.0
2018/214-00:49:23      -21.7
2018/214-00:59:23      -21.2
2018/214-01:09:23      -20.5
2018/214-01:19:23      -25.7
2018/214-01:29:23      -34.9
2018/214-01:39:23      -40.0
2018/214-01:49:23      -37.9
2018/214-01:59:23      -37.6
2018/214-02:09:23      -38.5
2018/214-02:19:23      -38.4
2018/214-02:29:23      -36.4
2018/214-02:39:23      -34.2
2018/214-02:49:23      -31.6
2018/214-02:59:23      -28.8
2018/214-03:09:23      -26.1
2018/214-03:19:23      -23.7
2018/214-03:29:23      -21.7
2018/214-03:39:23      -20.2
2018/214-03:49:23      -19.0
2018/214-03:59:23      -18.2
2018/214-04:09:23      -17.4
2018/214-04:19:23      -18.1
2018/214-04:29:23      -27.9
2018/214-04:39:23      -39.6
2018/214-04:49:23      -44.8
2018/214-04:59:23      -53.0
2018/214-05:09:23      -64.4
2018/214-05:19:23      -73.4
2018/214-05:29:23      -77.0
2018/214-05:39:23      -79.5
2018/214-05:49:23      -82.1
2018/214-05:59:23      -83.6
2018/214-06:09:23      -82.9
2018/214-06:19:23      -79.6
2018/214-06:29:23      -75.9
2018/214-06:39:23      -72.0
2018/214-06:49:23      -67.6
2018/214-06:59:23      -62.9
2018/214-07:09:23      -58.5
2018/214-07:19:23      -54.6
2018/214-07:29:23      -51.8
2018/214-07:39:23      -54.3
2018/214-07:49:23      -58.1
