      Time          Predicted AL
2018/152-00:09:23     -249.9
2018/152-00:19:23     -259.7
2018/152-00:29:23     -284.0
2018/152-00:39:23     -323.4
2018/152-00:49:23     -324.7
2018/152-00:59:23     -306.1
2018/152-01:09:23     -338.2
2018/152-01:19:23     -350.2
2018/152-01:29:23     -322.4
2018/152-01:39:23     -300.7
2018/152-01:49:23     -287.8
2018/152-01:59:23     -316.6
2018/152-02:09:23     -354.7
2018/152-02:19:23     -347.3
2018/152-02:29:23     -317.9
2018/152-02:39:23     -303.3
2018/152-02:49:23     -302.0
2018/152-02:59:23     -293.3
2018/152-03:09:23     -281.1
2018/152-03:19:23     -262.4
2018/152-03:29:23     -253.0
2018/152-03:39:23     -259.0
2018/152-03:49:23     -262.7
2018/152-03:59:23     -278.3
2018/152-04:09:23     -315.3
2018/152-04:19:23     -348.3
2018/152-04:29:23     -392.9
2018/152-04:39:23     -407.8
2018/152-04:49:23     -408.5
2018/152-04:59:23     -431.0
2018/152-05:09:23     -465.5
2018/152-05:19:23     -491.3
2018/152-05:29:23     -516.8
2018/152-05:39:23     -545.9
2018/152-05:49:23     -572.9
2018/152-05:59:23     -594.5
2018/152-06:09:23     -597.5
2018/152-06:19:23     -575.4
2018/152-06:29:23     -584.5
2018/152-06:39:23     -589.9
2018/152-06:49:23     -537.3
2018/152-06:59:23     -442.6
2018/152-07:09:23     -393.3
2018/152-07:19:23     -363.8
2018/152-07:29:23     -300.0
2018/152-07:39:23     -237.4
2018/152-07:49:23     -190.3
2018/152-07:59:23     -158.7
2018/152-08:09:23     -178.8
2018/152-08:19:23     -174.8
2018/152-08:29:23     -206.5
2018/152-08:39:23     -244.2
2018/152-08:49:23     -303.3
2018/152-08:59:23     -353.8
2018/152-09:09:23     -396.9
2018/152-09:19:23     -437.7
2018/152-09:29:23     -468.1
2018/152-09:39:23     -503.7
2018/152-09:49:23     -529.6
2018/152-09:59:23     -537.2
2018/152-10:09:23     -533.5
2018/152-10:19:23     -491.3
2018/152-10:29:23     -451.2
2018/152-10:39:23     -405.7
2018/152-10:49:23     -353.8
2018/152-10:59:23     -288.2
2018/152-11:09:23     -242.6
2018/152-11:19:23     -224.5
2018/152-11:29:23     -194.1
2018/152-11:39:23     -166.7
2018/152-11:49:23     -150.9
2018/152-11:59:23     -150.9
2018/152-12:09:23     -135.1
2018/152-12:19:23     -124.7
2018/152-12:29:23     -130.1
2018/152-12:39:23     -139.2
2018/152-12:49:23     -181.4
2018/152-12:59:23     -240.2
2018/152-13:09:23     -287.7
2018/152-13:19:23     -256.2
2018/152-13:29:23     -263.4
2018/152-13:39:23     -295.1
2018/152-13:49:23     -294.8
2018/152-13:59:23     -258.5
2018/152-14:09:23     -226.5
2018/152-14:19:23     -232.8
2018/152-14:29:23     -243.6
2018/152-14:39:23     -264.9
2018/152-14:49:23     -300.4
2018/152-14:59:23     -340.0
2018/152-15:09:23     -377.7
2018/152-15:19:23     -407.7
2018/152-15:29:23     -423.4
2018/152-15:39:23     -447.4
2018/152-15:49:23     -475.0
2018/152-15:59:23     -472.3
2018/152-16:09:23     -450.1
2018/152-16:19:23     -442.8
2018/152-16:29:23     -417.1
2018/152-16:39:23     -354.1
2018/152-16:49:23     -292.3
2018/152-16:59:23     -251.8
2018/152-17:09:23     -223.8
2018/152-17:19:23     -235.9
2018/152-17:29:23     -266.4
2018/152-17:39:23     -281.0
2018/152-17:49:23     -249.3
2018/152-17:59:23     -265.3
2018/152-18:09:23     -304.3
2018/152-18:19:23     -317.5
2018/152-18:29:23     -310.1
2018/152-18:39:23     -317.1
2018/152-18:49:23     -332.0
2018/152-18:59:23     -325.6
2018/152-19:09:23     -316.4
2018/152-19:19:23     -294.5
2018/152-19:29:23     -258.8
2018/152-19:39:23     -222.6
2018/152-19:49:23     -197.1
2018/152-19:59:23     -173.3
2018/152-20:09:23     -146.1
2018/152-20:19:23     -122.2
2018/152-20:29:23     -112.8
2018/152-20:39:23     -166.5
2018/152-20:49:23     -164.0
2018/152-20:59:23     -149.1
2018/152-21:09:23     -129.3
2018/152-21:19:23     -139.2
2018/152-21:29:23     -126.3
2018/152-21:39:23     -112.9
2018/152-21:49:23     -100.4
2018/152-21:59:23      -92.0
2018/152-22:09:23      -93.7
2018/152-22:19:23      -86.4
2018/152-22:29:23     -115.1
2018/152-22:39:23     -112.5
2018/152-22:49:23     -104.9
2018/152-22:59:23      -98.3
2018/152-23:09:23     -103.6
2018/152-23:19:23     -100.6
2018/152-23:29:23      -98.2
2018/152-23:39:23      -96.9
2018/152-23:49:23      -96.1
2018/152-23:59:23      -94.7
2018/153-00:09:23      -91.9
2018/153-00:19:23      -93.9
2018/153-00:29:23     -151.1
2018/153-00:39:23     -138.1
2018/153-00:49:23     -126.9
2018/153-00:59:23     -119.5
2018/153-01:09:23     -141.2
2018/153-01:19:23     -153.2
2018/153-01:29:23     -196.3
2018/153-01:39:23     -262.4
2018/153-01:49:23     -320.8
2018/153-01:59:23     -360.7
2018/153-02:09:23     -395.4
2018/153-02:19:23     -420.2
2018/153-02:29:23     -431.5
2018/153-02:39:23     -454.3
2018/153-02:49:23     -480.4
2018/153-02:59:23     -487.9
2018/153-03:09:23     -475.8
2018/153-03:19:23     -449.4
2018/153-03:29:23     -416.6
2018/153-03:39:23     -383.6
2018/153-03:49:23     -365.9
2018/153-03:59:23     -344.7
2018/153-04:09:23     -317.9
2018/153-04:19:23     -312.1
2018/153-04:29:23     -327.5
2018/153-04:39:23     -329.4
2018/153-04:49:23     -304.7
2018/153-04:59:23     -284.3
2018/153-05:09:23     -293.9
2018/153-05:19:23     -313.0
2018/153-05:29:23     -314.1
2018/153-05:39:23     -293.2
2018/153-05:49:23     -267.4
2018/153-05:59:23     -258.8
2018/153-06:09:23     -287.8
2018/153-06:19:23     -309.2
