      Time          Predicted AE
2013/121-00:00:00      512.2
2013/121-00:10:00      514.5
2013/121-00:20:00      514.8
2013/121-00:30:00      509.5
2013/121-00:40:00      497.0
2013/121-00:50:00      503.8
2013/121-01:00:00      514.2
2013/121-01:10:00      518.4
2013/121-01:20:00      526.3
2013/121-01:30:00      534.2
2013/121-01:40:00      539.7
2013/121-01:50:00      542.8
2013/121-02:00:00      550.2
2013/121-02:10:00      565.9
2013/121-02:20:00      578.7
2013/121-02:30:00      592.6
2013/121-02:40:00      602.4
2013/121-02:50:00      599.0
2013/121-03:00:00      579.6
2013/121-03:10:00      557.3
2013/121-03:20:00      553.3
2013/121-03:30:00      570.2
2013/121-03:40:00      591.6
2013/121-03:50:00      616.3
2013/121-04:00:00      636.8
2013/121-04:10:00      650.3
2013/121-04:20:00      646.0
2013/121-04:30:00      621.3
2013/121-04:40:00      586.6
2013/121-04:50:00      550.7
2013/121-05:00:00      512.9
2013/121-05:10:00      485.4
2013/121-05:20:00      459.4
2013/121-05:30:00      443.3
2013/121-05:40:00      465.3
2013/121-05:50:00      519.7
2013/121-06:00:00      577.4
2013/121-06:10:00      638.7
2013/121-06:20:00      697.8
2013/121-06:30:00      730.0
2013/121-06:40:00      756.2
2013/121-06:50:00      773.1
2013/121-07:00:00      779.7
2013/121-07:10:00      775.1
2013/121-07:20:00      788.1
2013/121-07:30:00      814.1
2013/121-07:40:00      820.1
2013/121-07:50:00      811.5
2013/121-08:00:00      814.3
2013/121-08:10:00      816.4
2013/121-08:20:00      784.2
2013/121-08:30:00      746.9
2013/121-08:40:00      652.7
2013/121-08:50:00      562.7
2013/121-09:00:00      495.9
2013/121-09:10:00      446.3
2013/121-09:20:00      394.9
2013/121-09:30:00      377.5
2013/121-09:40:00      403.9
2013/121-09:50:00      459.0
2013/121-10:00:00      494.8
2013/121-10:10:00      498.1
2013/121-10:20:00      531.4
2013/121-10:30:00      567.2
2013/121-10:40:00      578.6
2013/121-10:50:00      575.8
2013/121-11:00:00      574.1
2013/121-11:10:00      574.0
2013/121-11:20:00      585.2
2013/121-11:30:00      605.5
2013/121-11:40:00      623.6
2013/121-11:50:00      656.9
2013/121-12:00:00      697.2
2013/121-12:10:00      728.8
2013/121-12:20:00      758.0
2013/121-12:30:00      779.2
2013/121-12:40:00      792.8
2013/121-12:50:00      794.1
2013/121-13:00:00      797.1
2013/121-13:10:00      801.4
2013/121-13:20:00      808.3
2013/121-13:30:00      813.3
2013/121-13:40:00      818.7
2013/121-13:50:00      816.4
2013/121-14:00:00      814.3
2013/121-14:10:00      809.5
2013/121-14:20:00      804.0
2013/121-14:30:00      796.7
2013/121-14:40:00      783.9
2013/121-14:50:00      770.8
2013/121-15:00:00      763.6
2013/121-15:10:00      754.9
2013/121-15:20:00      745.0
2013/121-15:30:00      737.7
2013/121-15:40:00      730.6
2013/121-15:50:00      724.6
2013/121-16:00:00      731.4
2013/121-16:10:00      741.4
2013/121-16:20:00      748.1
2013/121-16:30:00      758.5
2013/121-16:40:00      771.4
2013/121-16:50:00      780.1
2013/121-17:00:00      785.6
2013/121-17:10:00      791.8
2013/121-17:20:00      803.4
2013/121-17:30:00      812.6
2013/121-17:40:00      813.9
2013/121-17:50:00      810.2
2013/121-18:00:00      800.4
2013/121-18:10:00      788.6
2013/121-18:20:00      782.0
2013/121-18:30:00      781.1
2013/121-18:40:00      776.6
2013/121-18:50:00      772.4
2013/121-19:00:00      762.7
2013/121-19:10:00      751.0
2013/121-19:20:00      736.6
2013/121-19:30:00      720.2
2013/121-19:40:00      698.8
2013/121-19:50:00      678.9
2013/121-20:00:00      668.1
2013/121-20:10:00      652.1
2013/121-20:20:00      626.6
2013/121-20:30:00      612.0
2013/121-20:40:00      609.6
2013/121-20:50:00      611.1
2013/121-21:00:00      615.2
2013/121-21:10:00      610.9
2013/121-21:20:00      598.1
2013/121-21:30:00      594.5
2013/121-21:40:00      597.2
2013/121-21:50:00      597.8
2013/121-22:00:00      598.8
2013/121-22:10:00      586.4
2013/121-22:20:00      550.9
2013/121-22:30:00      510.8
2013/121-22:40:00      478.8
2013/121-22:50:00      442.2
2013/121-23:00:00      391.4
2013/121-23:10:00      338.3
2013/121-23:20:00      296.3
2013/121-23:30:00      260.6
2013/121-23:40:00      224.3
2013/121-23:50:00      192.5
2013/122-00:00:00      176.1
2013/122-00:10:00      179.5
2013/122-00:20:00      230.7
2013/122-00:30:00      288.2
2013/122-00:40:00      341.3
2013/122-00:50:00      367.6
2013/122-01:00:00      389.1
2013/122-01:10:00      416.6
2013/122-01:20:00      443.3
2013/122-01:30:00      459.8
2013/122-01:40:00      477.0
2013/122-01:50:00      483.1
2013/122-02:00:00      474.6
2013/122-02:10:00      457.1
2013/122-02:20:00      427.2
2013/122-02:30:00      382.9
2013/122-02:40:00      341.8
2013/122-02:50:00      310.9
2013/122-03:00:00      287.3
2013/122-03:10:00      264.8
2013/122-03:20:00      241.3
2013/122-03:30:00      208.1
2013/122-03:40:00      181.4
2013/122-03:50:00      159.6
2013/122-04:00:00      143.4
2013/122-04:10:00      131.2
2013/122-04:20:00      119.6
2013/122-04:30:00      107.9
2013/122-04:40:00       99.2
2013/122-04:50:00       98.6
2013/122-05:00:00      118.1
2013/122-05:10:00      163.1
2013/122-05:20:00      213.4
2013/122-05:30:00      258.3
2013/122-05:40:00      285.0
2013/122-05:50:00      287.6
2013/122-06:00:00      275.7
2013/122-06:10:00      257.4
2013/122-06:20:00      236.3
2013/122-06:30:00      213.7
2013/122-06:40:00      192.0
2013/122-06:50:00      176.8
2013/122-07:00:00      170.9
2013/122-07:10:00      192.7
2013/122-07:20:00      221.3
2013/122-07:30:00      218.0
2013/122-07:40:00      197.7
2013/122-07:50:00      184.7
2013/122-08:00:00      184.6
2013/122-08:10:00      195.6
2013/122-08:20:00      224.4
2013/122-08:30:00      252.0
2013/122-08:40:00      279.2
2013/122-08:50:00      298.1
2013/122-09:00:00      307.6
2013/122-09:10:00      311.6
2013/122-09:20:00      302.3
2013/122-09:30:00      285.0
2013/122-09:40:00      268.2
2013/122-09:50:00      250.0
2013/122-10:00:00      225.1
2013/122-10:10:00      200.8
2013/122-10:20:00      180.2
2013/122-10:30:00      163.7
2013/122-10:40:00      153.2
2013/122-10:50:00      149.6
2013/122-11:00:00      153.1
2013/122-11:10:00      162.2
2013/122-11:20:00      167.6
2013/122-11:30:00      164.6
2013/122-11:40:00      157.6
2013/122-11:50:00      152.6
2013/122-12:00:00      154.7
2013/122-12:10:00      159.3
2013/122-12:20:00      162.8
2013/122-12:30:00      161.1
2013/122-12:40:00      150.8
2013/122-12:50:00      143.8
2013/122-13:00:00      135.7
2013/122-13:10:00      136.5
2013/122-13:20:00      133.2
2013/122-13:30:00      127.0
2013/122-13:40:00      118.9
2013/122-13:50:00      111.5
2013/122-14:00:00      104.1
2013/122-14:10:00       99.6
2013/122-14:20:00      100.2
2013/122-14:30:00      101.6
2013/122-14:40:00      100.5
2013/122-14:50:00       99.4
2013/122-15:00:00       98.8
2013/122-15:10:00       96.7
2013/122-15:20:00       96.9
2013/122-15:30:00      100.2
2013/122-15:40:00      109.2
2013/122-15:50:00      129.6
2013/122-16:00:00      144.0
2013/122-16:10:00      142.6
2013/122-16:20:00      133.4
2013/122-16:30:00      126.4
2013/122-16:40:00      119.7
2013/122-16:50:00      112.6
2013/122-17:00:00      107.9
2013/122-17:10:00      116.6
2013/122-17:20:00      135.6
2013/122-17:30:00      156.8
2013/122-17:40:00      180.3
2013/122-17:50:00      204.8
2013/122-18:00:00      231.2
2013/122-18:10:00      255.7
2013/122-18:20:00      282.2
2013/122-18:30:00      295.3
2013/122-18:40:00      298.7
2013/122-18:50:00      310.5
2013/122-19:00:00      330.4
2013/122-19:10:00      341.9
2013/122-19:20:00      343.6
2013/122-19:30:00      344.3
2013/122-19:40:00      367.8
2013/122-19:50:00      397.2
2013/122-20:00:00      413.1
2013/122-20:10:00      399.0
2013/122-20:20:00      355.1
2013/122-20:30:00      313.1
2013/122-20:40:00      276.3
2013/122-20:50:00      245.7
2013/122-21:00:00      222.2
2013/122-21:10:00      229.8
2013/122-21:20:00      237.2
2013/122-21:30:00      238.4
2013/122-21:40:00      234.6
2013/122-21:50:00      236.0
2013/122-22:00:00      235.8
2013/122-22:10:00      226.2
2013/122-22:20:00      219.4
2013/122-22:30:00      202.9
2013/122-22:40:00      185.9
2013/122-22:50:00      169.1
2013/122-23:00:00      152.8
2013/122-23:10:00      136.4
2013/122-23:20:00      122.1
2013/122-23:30:00      110.2
2013/122-23:40:00       99.4
2013/122-23:50:00       90.3
2013/123-00:00:00       82.0
2013/123-00:10:00       74.6
2013/123-00:20:00       68.1
2013/123-00:30:00       63.2
2013/123-00:40:00       59.6
2013/123-00:50:00       61.9
2013/123-01:00:00       66.6
2013/123-01:10:00       72.7
2013/123-01:20:00       77.4
2013/123-01:30:00       79.1
2013/123-01:40:00       79.7
2013/123-01:50:00       80.4
2013/123-02:00:00       84.2
2013/123-02:10:00       92.9
2013/123-02:20:00      104.4
2013/123-02:30:00      113.8
2013/123-02:40:00      120.0
2013/123-02:50:00      123.4
2013/123-03:00:00      125.0
2013/123-03:10:00      121.8
2013/123-03:20:00      113.8
2013/123-03:30:00      107.2
2013/123-03:40:00      101.4
2013/123-03:50:00       93.8
2013/123-04:00:00       84.7
2013/123-04:10:00       75.4
2013/123-04:20:00       67.3
2013/123-04:30:00       60.7
2013/123-04:40:00       56.1
2013/123-04:50:00       52.6
2013/123-05:00:00       50.9
2013/123-05:10:00       52.9
2013/123-05:20:00       53.7
2013/123-05:30:00       63.9
2013/123-05:40:00       84.9
2013/123-05:50:00      115.6
2013/123-06:00:00      148.9
2013/123-06:10:00      178.9
2013/123-06:20:00      200.0
2013/123-06:30:00      206.8
2013/123-06:40:00      200.5
2013/123-06:50:00      191.2
2013/123-07:00:00      180.3
2013/123-07:10:00      166.8
2013/123-07:20:00      151.7
2013/123-07:30:00      136.4
2013/123-07:40:00      122.1
2013/123-07:50:00      108.8
2013/123-08:00:00       97.7
2013/123-08:10:00       89.6
2013/123-08:20:00       85.2
2013/123-08:30:00       90.9
2013/123-08:40:00       99.7
2013/123-08:50:00      106.9
2013/123-09:00:00      102.4
2013/123-09:10:00       99.9
2013/123-09:20:00      104.2
2013/123-09:30:00      105.5
2013/123-09:40:00      100.3
2013/123-09:50:00       94.7
2013/123-10:00:00       91.0
2013/123-10:10:00       86.7
2013/123-10:20:00       82.2
2013/123-10:30:00       79.1
2013/123-10:40:00       75.6
2013/123-10:50:00       73.0
2013/123-11:00:00       70.2
2013/123-11:10:00       66.6
2013/123-11:20:00       62.4
2013/123-11:30:00       59.0
2013/123-11:40:00       56.1
2013/123-11:50:00       53.7
2013/123-12:00:00       52.0
2013/123-12:10:00       51.1
2013/123-12:20:00       50.4
2013/123-12:30:00       47.3
2013/123-12:40:00       44.9
2013/123-12:50:00       44.2
2013/123-13:00:00       44.3
2013/123-13:10:00       45.9
2013/123-13:20:00       50.2
2013/123-13:30:00       59.8
2013/123-13:40:00       76.4
2013/123-13:50:00       93.9
2013/123-14:00:00      101.4
2013/123-14:10:00       98.3
2013/123-14:20:00       95.6
2013/123-14:30:00       93.3
2013/123-14:40:00       89.2
2013/123-14:50:00       84.5
2013/123-15:00:00       80.2
2013/123-15:10:00       75.7
2013/123-15:20:00       72.1
2013/123-15:30:00       70.0
2013/123-15:40:00       77.7
2013/123-15:50:00       83.0
2013/123-16:00:00       89.0
2013/123-16:10:00       93.2
2013/123-16:20:00       98.7
2013/123-16:30:00      109.2
2013/123-16:40:00      127.5
2013/123-16:50:00      148.1
2013/123-17:00:00      169.5
2013/123-17:10:00      193.8
2013/123-17:20:00      216.5
2013/123-17:30:00      221.7
2013/123-17:40:00      218.0
2013/123-17:50:00      207.3
2013/123-18:00:00      196.2
2013/123-18:10:00      184.7
2013/123-18:20:00      172.6
2013/123-18:30:00      156.5
2013/123-18:40:00      139.9
2013/123-18:50:00      125.0
2013/123-19:00:00      112.2
2013/123-19:10:00      102.5
2013/123-19:20:00       94.8
2013/123-19:30:00       90.4
2013/123-19:40:00       83.7
2013/123-19:50:00       77.1
2013/123-20:00:00       71.1
2013/123-20:10:00       66.4
2013/123-20:20:00       61.8
2013/123-20:30:00       57.5
2013/123-20:40:00       53.6
2013/123-20:50:00       50.1
2013/123-21:00:00       47.3
2013/123-21:10:00       45.5
2013/123-21:20:00       45.2
2013/123-21:30:00       47.6
2013/123-21:40:00       46.4
2013/123-21:50:00       44.5
2013/123-22:00:00       41.9
2013/123-22:10:00       41.3
2013/123-22:20:00       40.8
2013/123-22:30:00       40.6
2013/123-22:40:00       39.4
2013/123-22:50:00       38.4
2013/123-23:00:00       34.9
2013/123-23:10:00       33.9
2013/123-23:20:00       34.4
2013/123-23:30:00       36.9
2013/123-23:40:00       38.2
2013/123-23:50:00       38.5
2013/124-00:00:00       40.3
2013/124-00:10:00       47.2
2013/124-00:20:00       54.9
2013/124-00:30:00       58.9
2013/124-00:40:00       61.2
2013/124-00:50:00       61.2
2013/124-01:00:00       61.4
2013/124-01:10:00       63.3
2013/124-01:20:00       67.5
2013/124-01:30:00       70.2
2013/124-01:40:00       70.4
2013/124-01:50:00       69.9
2013/124-02:00:00       69.2
2013/124-02:10:00       68.8
2013/124-02:20:00       69.7
2013/124-02:30:00       72.2
2013/124-02:40:00       76.0
2013/124-02:50:00       81.5
2013/124-03:00:00       86.5
2013/124-03:10:00       91.4
2013/124-03:20:00       97.2
2013/124-03:30:00      104.9
2013/124-03:40:00      115.5
2013/124-03:50:00      127.9
2013/124-04:00:00      138.4
2013/124-04:10:00      142.6
2013/124-04:20:00      138.4
2013/124-04:30:00      132.2
2013/124-04:40:00      126.9
2013/124-04:50:00      122.6
2013/124-05:00:00      113.9
2013/124-05:10:00      104.4
2013/124-05:20:00       95.5
2013/124-05:30:00       86.8
2013/124-05:40:00       77.9
2013/124-05:50:00       70.1
2013/124-06:00:00       64.8
2013/124-06:10:00       63.2
2013/124-06:20:00       68.0
2013/124-06:30:00       78.2
2013/124-06:40:00       90.6
2013/124-06:50:00      104.6
2013/124-07:00:00      118.6
2013/124-07:10:00      129.1
2013/124-07:20:00      132.4
2013/124-07:30:00      135.1
2013/124-07:40:00      143.7
2013/124-07:50:00      157.2
2013/124-08:00:00      169.1
2013/124-08:10:00      175.2
2013/124-08:20:00      171.8
2013/124-08:30:00      162.9
2013/124-08:40:00      153.0
2013/124-08:50:00      143.9
2013/124-09:00:00      134.9
2013/124-09:10:00      125.5
2013/124-09:20:00      115.9
2013/124-09:30:00      106.0
2013/124-09:40:00       96.6
2013/124-09:50:00       88.2
2013/124-10:00:00       81.3
2013/124-10:10:00       75.6
2013/124-10:20:00       71.1
2013/124-10:30:00       67.1
2013/124-10:40:00       64.4
2013/124-10:50:00       65.3
2013/124-11:00:00       69.0
2013/124-11:10:00       70.7
2013/124-11:20:00       70.5
2013/124-11:30:00       71.0
2013/124-11:40:00       74.3
2013/124-11:50:00       80.4
2013/124-12:00:00       84.6
2013/124-12:10:00       93.5
2013/124-12:20:00      100.4
2013/124-12:30:00      113.9
2013/124-12:40:00      129.3
2013/124-12:50:00      142.2
2013/124-13:00:00      149.8
2013/124-13:10:00      157.4
2013/124-13:20:00      162.7
2013/124-13:30:00      167.0
2013/124-13:40:00      168.5
2013/124-13:50:00      161.5
2013/124-14:00:00      150.6
2013/124-14:10:00      139.7
2013/124-14:20:00      129.6
2013/124-14:30:00      120.9
2013/124-14:40:00      114.2
2013/124-14:50:00      113.2
2013/124-15:00:00      119.5
2013/124-15:10:00      127.3
2013/124-15:20:00      133.0
2013/124-15:30:00      131.9
2013/124-15:40:00      126.9
2013/124-15:50:00      125.3
2013/124-16:00:00      134.4
2013/124-16:10:00      149.1
2013/124-16:20:00      166.2
2013/124-16:30:00      182.1
2013/124-16:40:00      198.6
2013/124-16:50:00      214.0
2013/124-17:00:00      227.8
2013/124-17:10:00      242.9
2013/124-17:20:00      260.6
2013/124-17:30:00      276.7
2013/124-17:40:00      287.7
2013/124-17:50:00      292.7
2013/124-18:00:00      296.1
2013/124-18:10:00      299.8
2013/124-18:20:00      301.9
2013/124-18:30:00      300.3
2013/124-18:40:00      297.6
2013/124-18:50:00      296.0
2013/124-19:00:00      294.9
2013/124-19:10:00      291.4
2013/124-19:20:00      284.8
2013/124-19:30:00      279.4
2013/124-19:40:00      277.4
2013/124-19:50:00      277.1
2013/124-20:00:00      277.4
2013/124-20:10:00      272.1
2013/124-20:20:00      270.4
2013/124-20:30:00      269.6
2013/124-20:40:00      265.4
2013/124-20:50:00      258.5
2013/124-21:00:00      251.8
2013/124-21:10:00      244.0
2013/124-21:20:00      239.2
2013/124-21:30:00      236.6
2013/124-21:40:00      229.6
2013/124-21:50:00      222.6
2013/124-22:00:00      217.2
2013/124-22:10:00      215.6
2013/124-22:20:00      220.7
2013/124-22:30:00      229.4
2013/124-22:40:00      236.1
2013/124-22:50:00      246.3
2013/124-23:00:00      258.1
2013/124-23:10:00      265.9
2013/124-23:20:00      267.8
2013/124-23:30:00      268.3
2013/124-23:40:00      266.6
2013/124-23:50:00      261.4
2013/125-00:00:00      248.7
2013/125-00:10:00      229.4
2013/125-00:20:00      207.9
2013/125-00:30:00      188.6
2013/125-00:40:00      179.0
2013/125-00:50:00      168.0
2013/125-01:00:00      166.6
2013/125-01:10:00      173.0
2013/125-01:20:00      189.2
2013/125-01:30:00      203.3
2013/125-01:40:00      209.1
2013/125-01:50:00      209.3
2013/125-02:00:00      211.1
2013/125-02:10:00      219.0
2013/125-02:20:00      233.7
2013/125-02:30:00      250.6
2013/125-02:40:00      262.2
2013/125-02:50:00      266.1
2013/125-03:00:00      270.6
2013/125-03:10:00      276.2
2013/125-03:20:00      283.6
2013/125-03:30:00      294.4
2013/125-03:40:00      307.0
2013/125-03:50:00      317.5
2013/125-04:00:00      326.0
2013/125-04:10:00      335.1
2013/125-04:20:00      344.4
2013/125-04:30:00      352.0
2013/125-04:40:00      360.8
2013/125-04:50:00      363.8
2013/125-05:00:00      360.1
2013/125-05:10:00      350.5
2013/125-05:20:00      344.5
2013/125-05:30:00      345.9
2013/125-05:40:00      350.4
2013/125-05:50:00      349.7
2013/125-06:00:00      342.9
2013/125-06:10:00      332.4
2013/125-06:20:00      326.2
2013/125-06:30:00      320.6
2013/125-06:40:00      314.0
2013/125-06:50:00      310.6
2013/125-07:00:00      311.2
2013/125-07:10:00      310.0
2013/125-07:20:00      305.5
2013/125-07:30:00      297.0
2013/125-07:40:00      278.7
2013/125-07:50:00      250.1
2013/125-08:00:00      221.0
2013/125-08:10:00      195.1
2013/125-08:20:00      171.7
2013/125-08:30:00      149.8
2013/125-08:40:00      130.3
2013/125-08:50:00      113.3
2013/125-09:00:00       98.8
2013/125-09:10:00       86.4
2013/125-09:20:00       76.3
2013/125-09:30:00       68.5
2013/125-09:40:00       62.8
2013/125-09:50:00       59.9
2013/125-10:00:00       63.7
2013/125-10:10:00       74.3
2013/125-10:20:00       87.9
2013/125-10:30:00      101.3
2013/125-10:40:00      113.3
2013/125-10:50:00      120.2
2013/125-11:00:00      123.8
2013/125-11:10:00      125.8
2013/125-11:20:00      126.6
2013/125-11:30:00      123.9
2013/125-11:40:00      118.5
2013/125-11:50:00      115.2
2013/125-12:00:00      116.8
2013/125-12:10:00      119.8
2013/125-12:20:00      120.5
2013/125-12:30:00      126.4
2013/125-12:40:00      136.5
2013/125-12:50:00      151.1
2013/125-13:00:00      172.4
2013/125-13:10:00      204.3
2013/125-13:20:00      240.3
2013/125-13:30:00      264.6
2013/125-13:40:00      278.8
2013/125-13:50:00      275.7
2013/125-14:00:00      264.7
2013/125-14:10:00      248.8
2013/125-14:20:00      233.7
2013/125-14:30:00      219.9
2013/125-14:40:00      211.6
2013/125-14:50:00      201.4
2013/125-15:00:00      186.1
2013/125-15:10:00      174.1
2013/125-15:20:00      169.9
2013/125-15:30:00      173.2
2013/125-15:40:00      184.2
2013/125-15:50:00      205.4
2013/125-16:00:00      233.3
2013/125-16:10:00      250.1
2013/125-16:20:00      247.7
2013/125-16:30:00      233.2
2013/125-16:40:00      216.6
2013/125-16:50:00      201.2
2013/125-17:00:00      185.4
2013/125-17:10:00      168.4
2013/125-17:20:00      155.0
2013/125-17:30:00      144.1
2013/125-17:40:00      139.5
2013/125-17:50:00      128.4
2013/125-18:00:00      115.6
2013/125-18:10:00      104.7
2013/125-18:20:00       97.0
2013/125-18:30:00       90.5
2013/125-18:40:00       84.1
2013/125-18:50:00       83.4
2013/125-19:00:00       77.3
2013/125-19:10:00       71.7
2013/125-19:20:00       65.8
2013/125-19:30:00       61.8
2013/125-19:40:00       57.3
2013/125-19:50:00       53.5
2013/125-20:00:00       50.2
2013/125-20:10:00       47.4
2013/125-20:20:00       45.0
2013/125-20:30:00       42.9
2013/125-20:40:00       40.8
2013/125-20:50:00       39.5
2013/125-21:00:00       38.5
2013/125-21:10:00       37.5
2013/125-21:20:00       36.4
2013/125-21:30:00       35.4
2013/125-21:40:00       34.9
2013/125-21:50:00       34.6
