      Time          Predicted AE
2013/153-11:20:00      527.2
2013/153-11:30:00      466.2
2013/153-11:40:00      416.8
2013/153-11:50:00      385.1
2013/153-12:00:00      339.7
2013/153-12:10:00      295.6
2013/153-12:20:00      262.8
2013/153-12:30:00      248.4
2013/153-12:40:00      222.9
2013/153-12:50:00      196.5
2013/153-13:00:00      173.0
2013/153-13:10:00      156.4
2013/153-13:20:00      144.2
2013/153-13:30:00      134.4
2013/153-13:40:00      158.4
2013/153-13:50:00      146.4
2013/153-14:00:00      136.2
2013/153-14:10:00      124.2
2013/153-14:20:00      124.4
2013/153-14:30:00      120.6
2013/153-14:40:00      126.1
2013/153-14:50:00      162.1
2013/153-15:00:00      232.4
2013/153-15:10:00      298.1
2013/153-15:20:00      340.7
2013/153-15:30:00      335.2
2013/153-15:40:00      341.6
2013/153-15:50:00      343.7
2013/153-16:00:00      362.9
2013/153-16:10:00      386.6
2013/153-16:20:00      354.4
2013/153-16:30:00      316.9
2013/153-16:40:00      288.4
2013/153-16:50:00      277.2
2013/153-17:00:00      249.6
2013/153-17:10:00      223.3
2013/153-17:20:00      207.5
2013/153-17:30:00      189.8
2013/153-17:40:00      168.3
2013/153-17:50:00      147.0
2013/153-18:00:00      130.8
2013/153-18:10:00      117.3
2013/153-18:20:00      106.0
2013/153-18:30:00       96.8
2013/153-18:40:00       89.0
2013/153-18:50:00       84.7
2013/153-19:00:00       85.3
2013/153-19:10:00      105.2
2013/153-19:20:00      136.5
2013/153-19:30:00      171.3
2013/153-19:40:00      215.6
2013/153-19:50:00      232.9
2013/153-20:00:00      255.7
2013/153-20:10:00      272.0
2013/153-20:20:00      289.2
2013/153-20:30:00      291.6
2013/153-20:40:00      269.2
2013/153-20:50:00      244.1
2013/153-21:00:00      221.3
2013/153-21:10:00      200.3
2013/153-21:20:00      176.6
2013/153-21:30:00      156.8
2013/153-21:40:00      140.2
2013/153-21:50:00      126.2
2013/153-22:00:00      114.3
2013/153-22:10:00      104.1
2013/153-22:20:00       96.1
2013/153-22:30:00       89.9
2013/153-22:40:00       85.4
2013/153-22:50:00       84.6
2013/153-23:00:00       86.6
2013/153-23:10:00      113.3
2013/153-23:20:00      137.3
2013/153-23:30:00      154.1
2013/153-23:40:00      173.2
2013/153-23:50:00      190.5
2013/154-00:00:00      200.1
2013/154-00:10:00      207.8
2013/154-00:20:00      222.1
2013/154-00:30:00      241.1
2013/154-00:40:00      246.5
2013/154-00:50:00      254.9
2013/154-01:00:00      239.0
2013/154-01:10:00      225.4
2013/154-01:20:00      217.2
2013/154-01:30:00      217.4
2013/154-01:40:00      196.8
2013/154-01:50:00      179.7
2013/154-02:00:00      165.5
2013/154-02:10:00      154.9
2013/154-02:20:00      143.9
2013/154-02:30:00      136.9
2013/154-02:40:00      130.5
2013/154-02:50:00      123.8
2013/154-03:00:00      117.7
2013/154-03:10:00      116.2
2013/154-03:20:00      127.5
2013/154-03:30:00      153.7
2013/154-03:40:00      181.5
2013/154-03:50:00      205.6
2013/154-04:00:00      226.9
2013/154-04:10:00      242.1
2013/154-04:20:00      237.7
2013/154-04:30:00      225.9
2013/154-04:40:00      219.0
2013/154-04:50:00      224.2
2013/154-05:00:00      232.7
2013/154-05:10:00      229.4
2013/154-05:20:00      212.4
2013/154-05:30:00      192.2
2013/154-05:40:00      175.8
2013/154-05:50:00      160.0
2013/154-06:00:00      146.2
2013/154-06:10:00      135.8
2013/154-06:20:00      137.2
2013/154-06:30:00      139.0
2013/154-06:40:00      129.4
2013/154-06:50:00      119.9
2013/154-07:00:00      115.9
2013/154-07:10:00      110.6
2013/154-07:20:00      104.5
2013/154-07:30:00       98.8
2013/154-07:40:00       94.6
2013/154-07:50:00       91.0
2013/154-08:00:00       89.8
2013/154-08:10:00       90.8
2013/154-08:20:00       89.4
2013/154-08:30:00       89.7
2013/154-08:40:00      100.8
2013/154-08:50:00      112.3
2013/154-09:00:00      114.8
2013/154-09:10:00      112.7
2013/154-09:20:00      111.9
2013/154-09:30:00      113.9
2013/154-09:40:00      117.0
2013/154-09:50:00      120.3
2013/154-10:00:00      142.7
2013/154-10:10:00      142.2
2013/154-10:20:00      145.0
2013/154-10:30:00      165.0
2013/154-10:40:00      182.7
2013/154-10:50:00      176.8
2013/154-11:00:00      167.2
2013/154-11:10:00      162.3
2013/154-11:20:00      165.7
2013/154-11:30:00      166.4
2013/154-11:40:00      158.8
2013/154-11:50:00      149.1
2013/154-12:00:00      140.8
2013/154-12:10:00      133.4
2013/154-12:20:00      125.1
2013/154-12:30:00      117.7
2013/154-12:40:00      113.8
2013/154-12:50:00      117.9
2013/154-13:00:00      140.5
2013/154-13:10:00      173.5
2013/154-13:20:00      196.2
2013/154-13:30:00      209.8
2013/154-13:40:00      216.4
2013/154-13:50:00      219.6
2013/154-14:00:00      216.9
2013/154-14:10:00      206.0
2013/154-14:20:00      191.0
2013/154-14:30:00      175.8
2013/154-14:40:00      160.9
2013/154-14:50:00      145.2
2013/154-15:00:00      130.3
2013/154-15:10:00      117.0
2013/154-15:20:00      105.8
2013/154-15:30:00       96.4
2013/154-15:40:00       88.6
2013/154-15:50:00       82.9
2013/154-16:00:00       80.0
2013/154-16:10:00       87.3
2013/154-16:20:00       99.6
2013/154-16:30:00      117.8
2013/154-16:40:00      135.9
2013/154-16:50:00      138.2
2013/154-17:00:00      133.6
2013/154-17:10:00      128.3
2013/154-17:20:00      123.8
2013/154-17:30:00      119.8
2013/154-17:40:00      121.2
2013/154-17:50:00      146.1
2013/154-18:00:00      183.7
2013/154-18:10:00      219.6
2013/154-18:20:00      256.0
2013/154-18:30:00      291.0
